stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,7.89,13.14,0,0,286.53,0,0,118.29,0,0,0,0,0,0,0,0,0,0,386.42,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,15.73,34.62,0,0,182.52,0,0,37.76,0,0,0,0,0,0,0,0,0,0,811.92,3.15,0,0,28.32,0,12.59,0,0,0,0,0
 14-21,0,0,0,28,1,19,0,0,0,0,0,0,0,0,0,2,0,0,0,156,0,0,0,0,2,0,0,25,0,0,0
 24-34,0,0,0,5.75,0,36.94,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0.82,174.84,0,3.28,8.21,0,8.21,0,0,27.91,0,1.64,0
 36-46,0,0,0,0.81,0,24.98,0,10.47,0,0,0,0,0,0,0,0.81,0,0,0,226.39,0,3.22,7.25,0,4.03,0,0,18.53,0,0.81,0
 48-58,0,0,0,2.87,0,45.33,0.57,14.35,0,0,0,0,0,0.57,0.57,1.15,0,0,0,162.96,0,1.15,4.59,0,1.15,0,0,16.07,0,0,0
 60-70,0,0,0,0.98,0,28.46,0,24.54,0,0,0,0,0,0.98,0,4.91,0,0,0.98,214.95,0,2.94,1.96,0,0,0,0,6.87,0,0,0.98
 72-82,0,0,0,3.93,0,39.27,0,34.36,0,0,0,0,0,0,0,2.94,0,0,0.98,218.91,0,2.94,5.89,0,2.94,0,0,3.93,0,0.98,0.98
 84-94,0,0,0,3.19,1.06,53.1,0,19.12,1.06,1.06,1.06,0,0,0,0,5.31,0,1.06,1.06,123.2,0,5.31,12.74,0,3.19,0,0,6.37,0,0,0
 96-106,0,0,0,4.37,0,40.44,0,24.04,0,0,0,0,0,0,0,4.37,1.09,0,0,92.89,0,6.56,14.21,0,4.37,0,0,3.28,1.09,0,0
108-118,0,0,0,1.53,0,36.77,0,17.62,0,0,0,1.53,0,0,0,3.83,0,0,0.77,152.43,0,6.89,8.43,0,2.3,0,0.77,1.53,0,0.77,0
120,0,0,0,5.88,0,15.68,0,17.64,0,0,0,0,1.96,0,0,5.88,0,0,0,135.23,0,1.96,9.8,0,5.88,0,0,0,0,3.92,0
