stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,13,0,6,7,0,0,0,0,0,2,0,1,9,2,0,0,0,0,0
 24-34,0,1.64,0.82,1.64,0,0,0,2.46,0,1.64,0,0,0,0,92.76,0,13.95,27.09,0,0,0,0,0,0,0,0,2.46,9.85,0,0,0.82,0,0
 36-46,0,0,0.81,2.42,0,0,2.42,0.81,0,3.22,0,0,0,0,136.16,1.61,29,24.17,0.81,0.81,0,0,0.81,0,0,0,0,7.25,0,0,2.42,0,0
 48-58,0.57,0,0,9.18,0,0,2.87,7.46,0,3.44,0.57,0,0.57,0,242.72,1.72,37.87,20.66,0,0,0,0,0,0,0.57,0,0,6.31,0,0.57,1.15,0,0.57
 60-70,0,1.96,0.98,8.83,0,0.98,6.87,15.7,0,6.87,0.98,0,0,0.98,430.89,1.96,39.26,17.67,0,0,0,0.98,1.96,0,0,0,0,6.87,0,2.94,0.98,1.96,0
 72-82,0,1.96,0,24.54,0.98,0.98,12.76,20.61,0.98,11.78,0,0,0,0.98,643.97,7.85,36.32,32.39,0,0,0,4.91,0,0,1.96,0,0,3.93,0,6.87,9.82,2.94,0
 84-94,0,7.43,2.12,31.86,1.06,3.19,12.74,20.18,0,5.31,0,1.06,0,0,383.4,20.18,20.18,24.43,1.06,0,0,3.19,1.06,0,3.19,0,0,3.19,0,5.31,1.06,4.25,0
 96-106,0,2.19,0,12.02,1.09,0,9.84,17.49,0,9.84,0,0,0,0,362.83,5.46,21.86,27.32,0,0,1.09,4.37,2.19,0,5.46,0,0,6.56,0,7.65,6.56,7.65,0
108-118,0,2.3,2.3,19.15,2.3,0,3.06,18.38,0,9.96,0.77,0,0,0.77,343.92,6.89,17.62,18.38,0,0,2.3,6.13,0,0,0.77,0.77,0,2.3,0,9.96,2.3,3.83,0
120,0,7.84,1.96,11.76,1.96,1.96,9.8,5.88,0,11.76,0,0,0,0,290.05,17.64,13.72,17.64,1.96,0,1.96,9.8,0,0,0,0,0,1.96,1.96,3.92,0,9.8,0
