stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,gut,hatching_gland,heart,lateral_line,neural,olfactory,periderm,pronephros,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,4.1,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0.57,2.3,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,3.93,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,1.06,0,6.37,0,1.06
 96-106,0,0,1.09,0,0,0,0,1.09,0,0,0,3.28,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,4.6,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0
