stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,taste,visceral_smooth_muscle
  3-4,0,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,15.77,2.63,0,0,7.89,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,14,0,1,0,0
 24-34,0,0,0,0.82,6.57,0.82,3.28,0,0,0,0,0,1.64,0,0.82,2.46,1.64,0,0,7.39,0,1.64,0.82,0,11.49,0,1.64,0,0
 36-46,0,0,0,0,4.83,2.42,4.03,0,0,0,0,0,0.81,0,0,0.81,3.22,0,0,8.06,0,0,0.81,0,17.72,0,0,0,0
 48-58,0,0,0,0,4.59,0.57,2.3,0,0.57,0,0,0,0.57,0,0,0,4.02,0,0,3.44,0,0,1.72,0,12.05,0,1.15,0,0
 60-70,0,0,0,0,2.94,0,3.93,0,3.93,1.96,0,0,0,0.98,0,0.98,4.91,0,0,4.91,0,0,2.94,0,8.83,0,0.98,0,0
 72-82,0,0,0,0,6.87,0.98,0,0,2.94,1.96,0,0.98,0.98,1.96,0,4.91,3.93,0,0,1.96,0,0,3.93,0,4.91,0,0,0.98,0.98
 84-94,0,0,1.06,0,9.56,1.06,1.06,0,2.12,5.31,0,0,1.06,0,1.06,3.19,5.31,0,1.06,5.31,0,0,0,0,20.18,0,0,1.06,0
 96-106,0,0,0,0,10.93,2.19,0,0,2.19,12.02,0,0,1.09,2.19,0,2.19,1.09,0,0,5.46,0,2.19,1.09,0,22.95,0,0,3.28,0
108-118,0,0,0,0,10.72,0.77,3.06,0.77,1.53,6.13,0,0,3.06,2.3,0,1.53,6.13,0.77,0,1.53,0,0.77,1.53,0,11.49,0,0,2.3,0
120,0,0,0,0,7.84,0,0,0,0,5.88,0,0,0,1.96,0,0,3.92,0,0,0,0,0,3.92,0,5.88,0,0,0,0
