stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,7.89,0,0,0,18.4,0,0,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,184.01,5.26,0,0,68.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,22.03,0,3.15,0,18.88,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,538.13,22.03,0,0,113.29,0,0,0,37.76,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,21,3,0,8,0,0,0,20,0,0,0,0,0,0,0,0,1,21,0,0,46,140,7,0,0,4,0,2,13,1,2,70,135,0,0,1,0,0
 24-34,0,0,1.64,32.83,0.82,0,16.42,0,7.39,3.28,50.07,0,0,1.64,0,0,0.82,0,0.82,0,82.09,0,0.82,37.76,464.6,4.1,3.28,0,0,0,14.78,0,2.46,0,11.49,281.55,0,0,2.46,0,0
 36-46,0,0,0,5.64,0,0,26.59,0.81,2.42,1.61,74.12,0.81,0,0.81,0,0,0,0,0,0.81,85.4,0,2.42,32.23,644.54,7.25,0,1.61,0,0.81,5.64,0,1.61,0,0,296.49,0,0,1.61,0,0
 48-58,0,0,0,2.87,0,0,35,0,7.46,8.03,57.38,0,0,1.15,0,0,0,0.57,0,0,62.54,0,5.74,15.49,448.72,1.15,0.57,0.57,0,0.57,2.3,0,0,0,0,214.6,0,0.57,0,0,0
 60-70,0,0,0,5.89,0,0,36.32,0,8.83,6.87,72.63,0,0,0,0.98,0,0,0.98,0,0,94.23,0,4.91,11.78,335.68,0,0.98,1.96,0,1.96,4.91,0,0,0.98,0,124.65,0,1.96,0,3.93,0
 72-82,0,0,0,4.91,0,0,26.5,0,5.89,13.74,66.75,0,0.98,0.98,0,0,0,0.98,0.98,0,76.57,0,4.91,9.82,257.2,0,0.98,0.98,0,0,2.94,0,0,0,0,66.75,0.98,2.94,0,12.76,0
 84-94,0,0,0,11.68,2.12,0,47.79,2.12,4.25,13.81,38.23,0,0,0,0,0,0,0,0,0,62.66,0,6.37,7.43,150.81,0,0,1.06,0,4.25,5.31,0,0,0,0,54.16,2.12,4.25,4.25,13.81,1.06
 96-106,0,0,0,5.46,0,0,31.69,2.19,7.65,8.74,36.06,3.28,0,0,0,0,1.09,0,0,0,66.66,1.09,7.65,5.46,113.66,0,4.37,3.28,0,1.09,0,0,1.09,1.09,0,67.76,2.19,2.19,2.19,12.02,0
108-118,0,0,0,7.66,0,0.77,19.92,1.53,22.21,3.83,34.47,2.3,0,0.77,0,0,0,0,0,0.77,53.62,0,3.06,4.6,107.23,0,3.06,2.3,0,2.3,0,0,0,0,0,24.51,0.77,7.66,2.3,12.26,0
120,0,0,0,5.88,1.96,0,29.4,0,9.8,3.92,39.2,0,0,0,0,1.96,0,1.96,1.96,0,31.36,0,9.8,3.92,121.51,0,1.96,0,0,3.92,1.96,0,0,0,0,31.36,1.96,5.88,0,7.84,0
