stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,2609.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,239.06,1918.58,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,12.26,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,39.43,0,307.56,0,0,0,118.29,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,1240.75,36.8,0,0,386.42,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,160.5,0,3.15,0,66.09,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,695.48,22.03,0,0,245.46,0,9.44,0,0,31.47,0,0,3.15,0,0,0,0
 14-21,1,0,0,12,211,82,0,114,0,0,0,8,6,7,1,7,3,0,0,3,2,68,1,0,50,594,15,2,17,21,0,64,1,105,5,3,233,162,0,2,0,4
 24-34,0.82,0,0,19.7,119.84,63.21,0,187.98,5.75,1.64,0.82,11.49,6.57,0.82,4.1,7.39,17.24,1.64,7.39,4.93,10.67,94.4,4.1,0,42.68,616.46,4.93,4.93,31.19,0,0,91.94,0,2.46,0.82,0.82,117.38,146.93,0,13.13,0,13.13
 36-46,0,0,0,2.42,29.81,6.45,0,78.15,5.64,1.61,1.61,12.09,5.64,0,4.83,11.28,0.81,7.25,0.81,6.45,3.22,66.06,2.42,1.61,12.09,194.17,1.61,3.22,12.89,0,0,18.53,0,0,0.81,0.81,0.81,48.34,0,12.09,0,8.06
 48-58,0,0,0,0.57,11.48,8.03,0,22.38,0.57,0,1.15,8.61,1.15,0,4.02,7.46,2.3,1.72,1.15,0.57,3.44,39.02,0,2.3,9.18,63.69,0,0,0.57,0,0.57,2.87,0,0.57,0.57,0,0,15.49,0,5.74,0,2.87
 60-70,0,0,0,0,8.83,5.89,0,28.46,0,0,0,12.76,3.93,0,4.91,7.85,1.96,0.98,0,5.89,2.94,25.52,1.96,0.98,3.93,74.6,0.98,1.96,1.96,0,1.96,0,0,0,0,0,0,7.85,0,4.91,0,1.96
 72-82,0,0,0,0,6.87,23.56,2.94,21.6,0,0.98,0.98,11.78,14.72,0,0.98,19.63,2.94,0.98,2.94,0,0.98,40.25,3.93,1.96,7.85,58.9,0.98,1.96,0.98,0,0,2.94,0,0.98,0,0,0,4.91,1.96,14.72,0,0
 84-94,0,0,0,0,21.24,26.55,9.56,21.24,1.06,1.06,0,11.68,22.3,0,6.37,22.3,3.19,1.06,3.19,13.81,0,27.61,2.12,2.12,3.19,64.78,0,3.19,3.19,0,1.06,7.43,0,0,1.06,0,0,4.25,0,6.37,0,3.19
 96-106,0,0,1.09,0,34.97,31.69,10.93,17.49,1.09,0,3.28,12.02,69.94,0,7.65,45.9,1.09,1.09,1.09,15.3,1.09,34.97,1.09,2.19,4.37,46.99,2.19,7.65,3.28,0,1.09,15.3,0,0,0,0,0,3.28,1.09,17.49,1.09,3.28
108-118,0,0,0,0,42.13,33.7,19.92,9.19,0.77,3.06,0.77,5.36,41.36,0,3.06,29.87,2.3,1.53,3.06,18.38,2.3,24.51,3.06,1.53,8.43,53.62,1.53,8.43,2.3,0,2.3,13.79,0,0,0,0,0,0.77,0.77,23.74,0,2.3
120,0,0,1.96,1.96,31.36,50.95,9.8,9.8,0,0,0,17.64,25.48,0,3.92,25.48,3.92,0,0,3.92,1.96,13.72,1.96,0,1.96,23.52,0,3.92,1.96,0,0,11.76,0,0,0,0,0,0,1.96,11.76,0,0
