stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,7,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,1,16,0,1,1,0,4,1,0,3,7,0,0,0
 24-34,0,0,4.1,0,0,0,0.82,0,0,0,0,0,0.82,0.82,3.28,0,0.82,40.22,1.64,0,0,4.1,0,0,0,1.64,8.21,0,0.82,0
 36-46,1.61,0,8.06,0,0,0,0,0,0.81,0.81,0,0,0,0,0.81,0,0.81,24.98,0,0,0,4.83,0,0,0,0,8.06,0,0.81,0.81
 48-58,1.15,0,5.74,0.57,0,0,1.72,0,0,0,0.57,0,0,0,1.72,0,0.57,14.35,0.57,0.57,0,0.57,0,0,0,0,6.89,0,0,0
 60-70,0.98,0,13.74,0,1.96,0,0.98,0,0,0.98,0,0,0,0,0.98,0,0.98,9.82,0.98,0.98,0,2.94,0,0,0,0,0.98,0,0,0
 72-82,0,1.96,15.71,0,0,0,0.98,1.96,0.98,0,0,1.96,0.98,0,4.91,0,0,16.69,0,0.98,0,4.91,0,0,0,0,0.98,1.96,0.98,0
 84-94,0,2.12,7.43,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,4.25,0,0,0,4.25,0,0,0,0,0,0,0,0
 96-106,5.46,0,6.56,1.09,1.09,1.09,1.09,0,3.28,0,0,0,0,0,0,1.09,0,6.56,0,0,0,2.19,0,0,0,0,0,0,1.09,0
108-118,3.83,0,3.06,0,0,0,1.53,0,1.53,0,1.53,0,0,0,0.77,0,0,9.96,0.77,0,0,1.53,0,0,0.77,0,0,0,0.77,0
120,0,1.96,1.96,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,7.84,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96
