stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,79.07,1133.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,649.74,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,5.26,0,0,0,42.06,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,184.01,15.77,0,0,78.86,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,6.29,0,0,56.65,0,6.29,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,1,15,8,0,2,0,0,0,16,0,0,0,0,0,0,0,1,0,14,0,0,6,62,11,0,4,5,2,4,18,31,1,15,77,0,0,0,0
 24-34,0.82,0.82,0,0,7.39,0,0,10.67,0.82,0.82,0,9.85,1.64,0.82,0,0,0,0,0.82,0,0.82,14.78,0,0,6.57,80.44,1.64,0,1.64,0,5.75,0,0.82,17.24,0,4.93,51.71,0,0,3.28,0.82
 36-46,0,0,0,0,0.81,0,0,4.83,0,0,0,2.42,1.61,0,0,0.81,0,0,0,0,0.81,2.42,0,0,1.61,14.5,0,1.61,0.81,0,2.42,0,0,3.22,0,0,10.47,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,26.97,0,0.57,2.87,6.31,0,0,0,0.57,0,0.57,0,0,1.15,17.79,0,1.15,2.87,23.53,0.57,0.57,0.57,0,2.87,0,0,2.87,0,0,17.21,0,0,1.15,2.87
 60-70,0,0,0,0,0,0.98,0,13.74,0,0.98,2.94,12.76,0,0,0.98,0.98,0,0,0.98,0,2.94,16.69,0,0,0.98,18.65,0,1.96,0.98,0,0.98,0,0,0.98,0,0,4.91,0,0,0,2.94
 72-82,0,0,0,0,0.98,0.98,0,4.91,0,0,0,8.83,0,0,0,0.98,0.98,0,1.96,0,0,10.8,0,0,0.98,10.8,0,1.96,3.93,0,1.96,0,0,0.98,0,0,9.82,0.98,0,0,0.98
 84-94,0,0,0,0,2.12,4.25,1.06,6.37,1.06,1.06,0,9.56,0,1.06,1.06,1.06,3.19,0,4.25,1.06,1.06,13.81,0,0,3.19,5.31,1.06,7.43,2.12,0,9.56,0,0,4.25,0,0,3.19,0,1.06,2.12,3.19
 96-106,0,0,0,1.09,2.19,1.09,0,4.37,0,0,0,6.56,0,0,0,2.19,1.09,0,4.37,1.09,0,8.74,1.09,0,2.19,3.28,0,8.74,6.56,0,4.37,0,0,2.19,0,0,0,0,0,0,3.28
108-118,0,0,0.77,1.53,1.53,3.06,0,5.36,0,1.53,1.53,6.13,3.06,0,0,1.53,0.77,1.53,3.06,1.53,0.77,12.26,0,0.77,4.6,10.72,0,7.66,6.13,0,3.83,0,0,3.06,0,0,6.13,0,0,2.3,1.53
120,0,0,0,0,3.92,3.92,0,5.88,0,1.96,1.96,3.92,0,0,0,7.84,0,0,1.96,0,0,5.88,0,0,7.84,7.84,0,1.96,0,0,13.72,0,0,3.92,0,0,1.96,0,0,3.92,1.96
