stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0.81,0,0.81,5.64,0,9.67,36.26,0.81,0,0,0,0,0,0,0.81,7.25,0,0,0,0
 48-58,0,0,0,0,0.57,0,4.59,0,0,0,0.57,0,0.57,0,0,0,1.72,24.67,0.57,12.62,28.69,0,0.57,0,0,0,0.57,0,21.23,5.74,0,0,0,0
 60-70,0,0,0,0,0,0,4.91,1.96,0,0.98,0.98,0.98,0,0,0,0,1.96,73.61,0.98,12.76,55.95,0,0,0,0,0,0.98,0,40.24,3.93,0,0,0.98,0
 72-82,0,0.98,0,0.98,0.98,0,17.67,0,0,0.98,0.98,0,0,0,0,0,0,124.67,2.94,19.63,51.05,0,0.98,0.98,0,0,0.98,0,34.36,0.98,0.98,0,0.98,0
 84-94,0,0,0,3.19,0,0,20.18,2.12,1.06,1.06,4.25,0,0,0,0,0,5.31,105.14,6.37,21.24,24.43,0,0,1.06,0,0,1.06,0,62.66,1.06,0,2.12,0,0
 96-106,0,0,0,3.28,4.37,0,20.76,4.37,1.09,0,5.46,0,0,1.09,1.09,1.09,0,126.77,4.37,15.3,29.51,1.09,1.09,0,0,1.09,2.19,0,67.76,1.09,0,2.19,2.19,0
108-118,0,0,0,5.36,0.77,0.77,11.49,4.6,3.06,0,0.77,0,0,0,0,0,2.3,128.68,9.96,9.19,24.51,0,0.77,0.77,0,0,1.53,0.77,61.28,1.53,0,0.77,0,1.53
120,0,0,0,0,3.92,0,3.92,3.92,0,0,0,0,0,0,0,0,1.96,109.75,15.68,7.84,25.48,0,0,0,0,0,1.96,0,13.72,0,0,1.96,1.96,0
