stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,12.26,0,0,0,0,0,0,0
  7-9,21.03,2.63,5.26,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,28.92,10.51,0,0,86.75,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,50.35,0,0,0,0,0,0,0
 14-21,0,0,0,11,5,0,1,1,0,0,0,0,0,3,0,0,9,13,18,2,0,10,2,160,2,5,69,21,1
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,1.64,9.85,0,4.1,0.82,0,3.28,0,0.82,0,0.82,4.93,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,6.45,0,0,0,0,6.45,0,0,0,0,1.61,0
 48-58,0,0,0,0.57,0,7.46,1.15,0,0,0,0,0,0,4.02,0.57,0,0,12.62,0,1.72,0,0,4.02,0,0,0,0,4.02,0
 60-70,0,0,0,0,0,12.76,0.98,0,0,0,0,0.98,0,6.87,0,0,0,10.8,0,2.94,0,0,5.89,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,4.91,2.94,0.98,0,0,0,0,0,7.85,0,0.98,1.96,6.87,0,5.89,0,0,2.94,0,0,0,0,1.96,0.98
 84-94,0,0,0,1.06,0,1.06,0,1.06,0,0,0,0,0,4.25,0,0,0,4.25,0,1.06,0,0,7.43,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,0,1.09,1.09,4.37,0,0,0,3.28,0,4.37,0,0,4.37,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,1.53,0,0,0,0.77,0.77,0,0,0.77,0,0,0,3.06,0,0.77,0,0,3.06,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,5.88,0,3.92,0,0,1.96,0,0,0,0,0,1.96
