stage,epidermis,erythrocytes,eye,fin_epithelia,immune,liver,melanocytes,mesenchyme,mucous,neural,notochord,periderm,somites,spinal_cord
 14-21,1,0,0,0,0,0,0,1,0,1,0,0,1,2
 24-34,1.64,0,0.82,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0.57,1.15,0,0,0,0,0,0,1.72,0.57,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,1.09,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,0.77,1.53,0.77,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0
