stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,60.46,5.26,0,0,23.66,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,25.18,0,0,0,0,0,0,0
 14-21,0,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,28,0,0,1,1,1,0,9,6,1,0,0
 24-34,0,0,0,0,0,0,2.46,0,0,0.82,0.82,0,0,0,0,0,0,0,2.46,0,0,2.46,33.66,0,0,0,0,0,0,1.64,10.67,0,0,0
 36-46,0,0,0,0.81,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0.81,24.98,0,0.81,0,0,0,0,0,8.86,0,0,0
 48-58,0,0,0,0.57,0,0,49.35,0,0,0.57,1.15,0,0,0,0,0,0,0,7.46,0,1.15,0,24.67,0.57,0,0,0,0.57,0,0,6.89,0.57,0,0
 60-70,0,0,0,0.98,0,0,122.69,0,0,0,1.96,0,0,0,0,0,0,0.98,4.91,0,0,2.94,34.35,0,0,0,0,0,0.98,0,4.91,0,0,0
 72-82,0,0,0,0,0,0,81.48,0,0.98,0,5.89,0,0,0,0,0.98,0,0,10.8,0,0,0.98,34.36,0,0,0.98,0,0,0,0,0.98,0,0.98,0.98
 84-94,0,0,0,4.25,1.06,0,57.35,0,0,2.12,4.25,0,0,0,1.06,0,0,0,4.25,0,0,1.06,20.18,0,0,0,0,0,0,0,3.19,1.06,0,0
 96-106,0,0,0,0,0,0,78.68,0,0,0,1.09,1.09,0,1.09,0,1.09,0,0,4.37,1.09,0,0,8.74,0,1.09,0,0,1.09,0,0,1.09,0,0,0
108-118,0,0,0,2.3,0,0.77,88.09,0.77,0,0,3.06,1.53,0,0.77,0,0,0.77,0,8.43,0,0,0.77,12.26,0,0,0,0,2.3,0,0,3.06,0,1.53,0
120,0,0,0,3.92,0,0,47.03,0,1.96,1.96,0,0,0,0,0,0,0,0,3.92,0,0,1.96,15.68,0,1.96,0,0,0,0,0,0,0,0,0
