stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,2332.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,0,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.14,0,7.89,0,0,0,110.41,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,226.07,2.63,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,0,0,88.12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,1013.32,0,0,0,75.53,0,0,6.29,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,4,87,2,0,31,0,8,0,27,1,0,3,0,1,0,0,0,0,25,0,0,4,2767,10,1,22,19,2,3,6,0,5,7,780,0,0,0,0
 24-34,0,0,2.46,1.64,55,0.82,0,51.71,0,17.24,0,36.12,1.64,0.82,0.82,0,5.75,1.64,2.46,2.46,0,41.04,0.82,0.82,10.67,5035.95,1.64,4.93,14.78,0,1.64,0,0,0.82,1.64,4.93,1048.23,0,1.64,0,0.82
 36-46,0,0,2.42,0,20.95,0.81,0,66.06,0.81,3.22,0.81,67.68,1.61,0,0,1.61,0,0,1.61,0.81,1.61,35.45,0,0.81,8.86,5304.53,0.81,2.42,6.45,0,3.22,0,0,0.81,0,0,1292.29,0,6.45,0,0.81
 48-58,0.57,0,0.57,0,16.64,0.57,0,142.88,1.15,1.72,0.57,116.48,0,0.57,0.57,0.57,1.72,2.87,2.3,0.57,0,41.89,0.57,0.57,6.89,3461.76,0,4.02,5.74,0,2.87,0,0,1.15,0.57,0,942.19,0,3.44,0.57,2.3
 60-70,0,0,2.94,0,8.83,0,0,116.8,0.98,0,0,56.93,0.98,0,0,2.94,1.96,0,0.98,0.98,0,25.52,0,0.98,4.91,2327.19,1.96,0.98,4.91,0,0,0,0,1.96,0.98,0,379.85,0,1.96,0.98,1.96
 72-82,0,0,3.93,0,16.69,2.94,0,152.16,0,0.98,0.98,59.88,0.98,0,0,0.98,5.89,2.94,2.94,0,0.98,71.66,0,3.93,9.82,1868.1,0,1.96,11.78,0,0.98,0,0,0,0,0,218.91,0,2.94,0.98,0.98
 84-94,0,0,3.19,0,18.05,0,0,169.93,1.06,4.25,0,43.54,1.06,0,2.12,0,8.5,2.12,3.19,0,0,48.85,0,4.25,4.25,1013.18,0,0,9.56,0,2.12,0,0,0,0,0,127.44,3.19,2.12,3.19,2.12
 96-106,0,0,0,0,17.49,1.09,0,123.49,1.09,1.09,3.28,40.44,1.09,0,0,0,6.56,1.09,1.09,1.09,0,31.69,0,1.09,5.46,763.9,0,1.09,15.3,0,0,0,0,1.09,0,0,88.52,0,3.28,2.19,1.09
108-118,0,0,1.53,0,14.55,0,1.53,63.57,0.77,0.77,0.77,26.04,2.3,0,1.53,1.53,8.43,0.77,0.77,1.53,0,26.04,0,0,0,839.5,0,3.83,9.19,0,2.3,0,0,0,0,0,49.79,0,3.06,0,0
120,0,0,0,0,13.72,1.96,3.92,76.43,1.96,1.96,1.96,19.6,3.92,0,0,0,5.88,0,1.96,0,0,21.56,0,0,1.96,707.48,1.96,3.92,9.8,0,0,0,0,0,0,0,43.12,0,0,0,0
