stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.34,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,416.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,496.5,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,13.14,0,0,0,31.54,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,257.61,7.89,0,0,78.86,0,78.86,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,56.65,0,0,0,40.91,0,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,519.25,34.62,0,0,188.82,0,37.76,6.29,0,34.62,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,3,52,12,0,9,0,0,1,5,0,0,0,8,0,0,0,0,13,1,0,8,121,4,2,1,4,0,101,0,9,3,0,4,42,0,0,1,0,0
 24-34,0,0,0,1.64,8.21,0.82,0,19.7,1.64,0,3.28,0.82,0.82,1.64,0.82,18.06,0,4.1,1.64,0,11.49,4.1,0,9.03,186.33,0,4.1,3.28,0,0,105.07,0,0.82,0.82,0,6.57,54.18,0,0,9.85,0,0
 36-46,0,0,0,0,8.86,0,0,33.03,1.61,0,3.22,0.81,0,2.42,1.61,2.42,0,7.25,0,0,20.14,8.06,0,5.64,248.15,0,9.67,3.22,0,0,82.18,0,0,2.42,0,0,78.96,0,0.81,8.86,0,0
 48-58,0,0,0,0,5.16,0,0,56.23,1.15,1.72,7.46,0,1.15,0,0,0.57,0.57,2.3,0,0,20.66,5.74,0,2.87,130.83,0.57,8.03,2.3,0,0,40.74,0,0,0,0,0,41.31,0,0,4.59,0,0
 60-70,0,0,0,0.98,6.87,0,0,73.61,1.96,0,10.8,0,1.96,1.96,2.94,5.89,0,4.91,0.98,0,26.5,2.94,0,1.96,123.67,1.96,5.89,1.96,0,0.98,35.33,0,0,0.98,0,0,34.35,0.98,0,2.94,0,0
 72-82,0,0,0.98,0,13.74,2.94,0,58.9,1.96,0.98,12.76,5.89,0.98,0.98,4.91,5.89,0,16.69,0,0,39.27,10.8,0.98,1.96,99.15,0,3.93,3.93,0,0.98,32.39,0,0,0,0,0,7.85,5.89,0.98,10.8,0,0
 84-94,0,0,1.06,0,22.3,2.12,0,54.16,5.31,3.19,16.99,8.5,2.12,0,6.37,9.56,2.12,12.74,2.12,0,31.86,7.43,2.12,2.12,66.91,1.06,9.56,7.43,0,0,121.07,0,0,3.19,0,0,13.81,7.43,2.12,7.43,1.06,0
 96-106,0,0,0,0,40.44,2.19,1.09,29.51,3.28,2.19,20.76,20.76,0,1.09,13.11,16.39,1.09,18.58,0,0,26.23,7.65,0,5.46,84.15,0,17.49,9.84,0,1.09,91.8,0,0,3.28,0,0,6.56,8.74,0,15.3,2.19,0
108-118,0,0,0.77,0,31.4,1.53,0,26.04,6.13,2.3,9.96,12.26,0.77,0,15.32,6.13,0.77,11.49,2.3,0.77,28.34,3.06,0.77,3.83,91.15,0.77,4.6,4.6,0,0.77,83.49,0,0,0.77,0.77,0,3.83,12.26,0.77,8.43,0,0
120,0,0,1.96,0,29.4,0,0,17.64,5.88,1.96,3.92,5.88,0,0,11.76,7.84,0,5.88,1.96,0,1.96,1.96,3.92,0,47.03,0,9.8,0,0,0,56.83,0,0,0,0,0,1.96,3.92,0,1.96,1.96,1.96
