stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,1,0,0,0,1,0,0,4,66,0,0,0,0,0
 24-34,3.28,9.85,0,0,2.46,0,0.82,0.82,0,0,0,0,0,1.64,0,0,0.82,2.46,4.93,1.64,0,3.28,362,0.82,9.85,0.82,0,0,4.1,0,0,1.64,0,0,114.1,0,0,0,0,0
 36-46,0.81,4.03,0,0,24.98,0,0,0,4.83,0,0.81,0,0,2.42,0,0,0,19.34,1.61,3.22,0,1.61,818.56,0,8.06,0,0,0,1.61,0,0,0,0,0,159.52,0,0,0.81,0,0.81
 48-58,1.15,8.03,0,0,147.47,0,0,0,11.48,0,6.89,0,0,1.15,0,0,0,17.79,6.31,5.16,0,1.15,1047.77,1.15,7.46,0,0,0,2.3,0,0,0,0,0,179.6,0,0,2.3,0,2.87
 60-70,1.96,4.91,0.98,0,318.01,0,0.98,0.98,19.63,1.96,4.91,0,2.94,0,0.98,0,0,12.76,12.76,6.87,0,2.94,1431.06,0.98,5.89,1.96,0,0,0.98,0,0,0.98,1.96,0,159.01,0,0,2.94,0,1.96
 72-82,13.74,10.8,3.93,0,647.9,0.98,0,2.94,52.03,22.58,4.91,0,2.94,0,3.93,0,0,8.83,22.58,17.67,0,2.94,1230.02,0,16.69,0.98,0,0.98,1.96,0,0,1.96,0,0,91.29,0.98,0,2.94,0,1.96
 84-94,11.68,12.74,4.25,0,397.2,1.06,0,0,46.73,30.8,4.25,0,2.12,3.19,2.12,0,1.06,15.93,22.3,16.99,1.06,3.19,579.87,0,1.06,2.12,0,0,4.25,0,0,1.06,0,0,35.05,6.37,1.06,3.19,3.19,1.06
 96-106,18.58,14.21,4.37,1.09,415.28,0,1.09,0,26.23,38.25,0,1.09,1.09,3.28,3.28,2.19,1.09,14.21,20.76,22.95,1.09,3.28,467.74,0,9.84,1.09,0,0,4.37,1.09,0,2.19,0,0,18.58,10.93,1.09,4.37,2.19,3.28
108-118,11.49,14.55,1.53,0,259.66,0,0,0.77,20.68,59.75,0,0,2.3,3.06,0,0.77,1.53,18.38,16.85,15.32,0.77,3.06,531.58,0.77,6.13,2.3,0,0,4.6,0,0,0.77,0,0,19.92,10.72,0.77,1.53,0.77,0
120,5.88,17.64,1.96,0,260.65,1.96,1.96,0,33.32,31.36,0,0,0,0,0,0,3.92,7.84,13.72,11.76,1.96,0,662.41,1.96,11.76,0,0,0,3.92,0,0,1.96,0,0,17.64,1.96,0,5.88,0,0
