stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,40.91,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,7,0,0,0,1,0,1,2,0,0
 24-34,0,0,0,2.46,1.64,0,0,0,0,0.82,0,0,0,0,2.46,4.1,0,0,0,0,0,0,4.1,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.15,0,0,0,0,0,0,0,1.15,0,0,0.57,0,3.44,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,1.96,0,0,0,3.93,0,0.98,0,4.91,0,0,0,0,4.91,0.98,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,6.87,0,0,0,0,0,0.98,0,26.5,0,0,2.94,0.98,7.85,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,2.12,0,1.06,0,4.25,0,0,0,27.61,0,1.06,0,0,5.31,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,6.56,0,0,1.09,5.46,0,0,0,22.95,0,1.09,0,0,9.84,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,3.06,0,0,0,29.87,0,2.3,0,0,3.83,0,0,0.77,0,0.77,0,0,0,0
120,0,0,0,0,0,0,3.92,1.96,0,0,41.16,0,5.88,1.96,0,9.8,0,0,0,0,0,0,0,0,0
