stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,12,4,2,0,9,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,1,117,4,0,0,2,0,1,1,0,1,1,35,0,0,0,0,0
 24-34,0,6.57,3.28,0,0,9.85,0,0,0,5.75,5.75,0,0,1.64,0,0,0,0,1.64,5.75,0,0,2.46,381.7,0.82,3.28,1.64,0,0,0,0.82,0,0,0,82.91,0,0,0,0,0
 36-46,0,0,1.61,0,0,28.2,0,0,0,29.81,0.81,0,0,0.81,0,0,0,0,0,6.45,0,0,1.61,1073.96,0,2.42,0.81,0,0,0.81,0,0,0,0,190.14,0,0,0.81,0,4.03
 48-58,0,0,1.15,0,0,146.32,0,0,0,62.54,0,0,0,0,0,0.57,0,0.57,2.3,16.07,0.57,0.57,3.44,1339.83,0,1.72,0,0,0,1.15,0,0,0,0,154.93,0,0,1.72,0,4.02
 60-70,0.98,0,2.94,0,0,731.23,0,0.98,0.98,95.21,0,0,0,0,0,0.98,0,0,0,21.59,0.98,0.98,5.89,2578.46,0,4.91,0,0,0.98,3.93,0,0,0,0,206.12,0,0,1.96,0,7.85
 72-82,1.96,0,13.74,3.93,0,949.27,0.98,0.98,3.93,91.29,0,0,0,0.98,0,0,0,0,0,28.47,0,0.98,3.93,1979.03,0,3.93,3.93,0,0,2.94,0,0,0,0,99.15,0,1.96,1.96,0,3.93
 84-94,1.06,0,19.12,1.06,0,646.78,1.06,2.12,1.06,79.65,0,0,0,1.06,0,1.06,1.06,1.06,0,32.92,0,4.25,1.06,1204.35,0,1.06,4.25,0,1.06,4.25,0,1.06,0,0,67.97,0,0,3.19,2.12,3.19
 96-106,1.09,0,10.93,2.19,0,467.74,1.09,0,0,91.8,0,0,2.19,2.19,1.09,3.28,0,0,0,31.69,0,0,4.37,799.96,0,0,0,0,0,1.09,0,0,0,0,22.95,0,1.09,1.09,1.09,3.28
108-118,0,0,10.72,0.77,0.77,309.45,0,0.77,0.77,50.55,0,0,0,0,0,1.53,0.77,0.77,0,14.55,0.77,0.77,3.06,876.26,0,0.77,0,0,0,0.77,0,0,0,0,13.02,0.77,0,1.53,0.77,5.36
120,0,0,15.68,3.92,0,250.85,0,0,0,56.83,0,0,1.96,3.92,0,0,0,0,0,23.52,0,0,1.96,883.86,0,3.92,0,0,0,3.92,0,1.96,0,0,17.64,0,0,0,0,0
