stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,0,1,0,0,0,7,0,1,0,0,0,0,1,0,0,1,11,1,0,1,0,2,3,0,2,7,0,0,0,0,0
 24-34,0,0,0,0,0,9.85,0,0,2.46,0,0,0.82,0.82,0.82,0.82,0,4.93,0,0,0.82,72.24,0,1.64,0.82,0,36.12,0,0,0.82,13.13,0,0,5.75,0,0
 36-46,0,1.61,0,2.42,0,17.72,0,0,12.09,0,0,0,0,0.81,0,0,10.47,2.42,0,0,53.17,0,0.81,0.81,0,20.14,0,1.61,0,9.67,0,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,16.07,1.15,1.72,15.49,0,0.57,0.57,0,0,0.57,0,12.05,0.57,0,2.87,43.04,0,1.15,1.15,0,11.48,0,0,0,9.75,0,0,1.15,0,0
 60-70,0,0,0,2.94,0,17.67,0.98,2.94,16.69,1.96,0,0,0.98,0,0,0,9.82,0.98,1.96,0,26.5,0,0.98,0.98,0,16.69,0,0,0,2.94,0,0,3.93,0,0
 72-82,0,0,0,4.91,0,17.67,0,0.98,40.25,0,0,0.98,0,0,0.98,0,44.17,0.98,0.98,0.98,36.32,0,0,2.94,0,14.72,0,0,0,0,0.98,0,4.91,0.98,0
 84-94,0,1.06,0,3.19,1.06,16.99,0,2.12,21.24,1.06,0,1.06,2.12,1.06,1.06,0,28.68,3.19,0,3.19,20.18,0,2.12,3.19,0,49.92,0,2.12,0,2.12,1.06,0,5.31,0,0
 96-106,0,1.09,0,2.19,0,19.67,0,1.09,12.02,1.09,0,1.09,0,0,1.09,0,31.69,3.28,1.09,0,25.14,0,0,1.09,0,56.83,0,1.09,0,0,1.09,0,6.56,0,0
108-118,0,0,0,4.6,1.53,7.66,3.06,0.77,20.68,1.53,0,0.77,1.53,1.53,0.77,0.77,42.89,2.3,2.3,2.3,32.94,0,2.3,3.06,0,55.15,0,1.53,0,2.3,1.53,0.77,7.66,0.77,0
120,0,1.96,0,37.24,0,9.8,5.88,3.92,41.16,0,0,3.92,9.8,1.96,3.92,0,115.63,3.92,5.88,9.8,105.83,1.96,5.88,9.8,0,109.75,0,1.96,0,0,0,0,3.92,0,0
