stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.06,0.82,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0.81,1.61,0,0,12.09,0.81,0,0,1.61,0,3.22,0,0,0
 48-58,0,0.57,0,1.72,0,0,1.15,0,0,0,0,2.3,0,0,9.75,0,0,0,0.57,0.57,2.3,0,0,0
 60-70,0,0,0,4.91,0,0,2.94,0,0,0,0,1.96,0,0.98,12.76,0,0,0,0,0,1.96,0,0,0
 72-82,0,0.98,0,1.96,0,0,0.98,0,0.98,0,0,4.91,0.98,0,7.85,0.98,0.98,0,0,0,0,0,0,0
 84-94,0,1.06,0,4.25,0,0,0,0,1.06,0,0,4.25,0,0,4.25,0,1.06,0,2.12,0,1.06,1.06,0,1.06
 96-106,0,0,1.09,2.19,0,1.09,0,0,0,1.09,0,3.28,0,0,4.37,0,0,0,3.28,0,1.09,0,0,0
108-118,0,1.53,0,5.36,0.77,0,0.77,0,0,0,0,5.36,0,0.77,4.6,0,0,0,0.77,0,0,0,0.77,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
