stage,blastomeres,epidermis,erythrocytes,eye,gut,liver,mesenchyme,muscle,neural,olfactory,pericytes,periderm,pronephros,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3,0,0,1,1,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,32.92,0,0,1.06,0,0,0,2.12,0
 96-106,0,1.09,1.09,0,2.19,55.74,1.09,1.09,7.65,0,0,1.09,0,0
108-118,0,0,0,0.77,0.77,186.89,0.77,0,9.19,0,0.77,0.77,0.77,0
120,0,0,0,1.96,0,123.47,1.96,0,3.92,0,0,0,3.92,0
