stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.95,5.26,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,50.35,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,940.94,6.29,0,0,107,0,0,3.15,3.15,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,23,0,15,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,728,0,37,2,0,0,2,2,0,8,11,469,0,0,0,0,0
 24-34,0,0,0.82,11.49,0,149.4,0,0,0,56.64,0,0,0,0,0.82,0.82,3.28,0,0,2.46,0,0,6.57,2630.02,0,55.82,11.49,0,0,4.1,0,0,0.82,7.39,870.11,0,0,0,0,0
 36-46,0,0,0,8.06,0,581.69,0.81,0,0,124.88,0,0,0.81,0.81,0,0,2.42,1.61,2.42,12.89,0,0,1.61,3486.13,0,20.14,4.83,0,0,4.03,0,0.81,0,0,1148.88,0,0.81,0.81,0,0.81
 48-58,0.57,0,0,8.03,0,509.54,0,0.57,0,210.59,0,0,0,0.57,0,0,1.72,0,0,13.2,0,1.15,1.15,1818.96,0.57,11.48,1.15,0,0,3.44,0,0,0.57,0,799.31,0,0,2.3,0,2.3
 60-70,0,0,0,4.91,0.98,255.2,0,0.98,0.98,225.75,1.96,0,0,0,0,0,0.98,0,0,7.85,0,0,0,682.16,0,0,1.96,0,0,0.98,0,0,0,0,279.73,0.98,0,0,0,0.98
 72-82,0,0,0,4.91,0,122.71,0,0.98,0,153.14,0,0,0.98,0.98,0,0,0.98,0,0,3.93,0,0,0.98,399.54,0,5.89,2.94,0,0,0.98,0,0,0,0,65.77,0.98,0,0,0.98,0.98
 84-94,0,0,0,3.19,1.06,113.64,0,1.06,1.06,97.71,2.12,0,0,0,0,2.12,1.06,0,0,8.5,0,0,1.06,264.45,0,2.12,3.19,0,0,0,0,0,0,0,70.09,3.19,0,0,0,0
 96-106,0,0,0,6.56,0,68.85,0,0,0,75.41,0,0,0,0,0,0,0,0,0,0,0,0,1.09,174.86,0,7.65,2.19,0,0,1.09,0,0,0,0,14.21,1.09,1.09,0,0,0
108-118,0,0,0,0.77,0,60.51,0,0,0.77,68.94,0.77,0,0,0.77,0,0.77,1.53,0,0,3.83,0,0,0.77,239.75,0,10.72,0.77,0,0.77,0,0,0,0,0,6.13,6.13,0,0.77,0,0
120,0,0,0,5.88,0,68.59,0,0,0,56.83,0,0,0,0,0,0,0,0,0,0,1.96,0,0,137.18,0,7.84,1.96,0,0,0,0,0,0,0,5.88,3.92,0,0,0,0
