stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,2134.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0
  5-6,269.7,4211.06,0,18.39,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,153.24,6.13,0,0,49.04,0,85.81,0,0,0,0,0,0,0,0,0,0
  7-9,99.89,73.6,0,165.61,0,0,0,239.21,0,0,0,0,0,128.81,0,0,0,0,0,0,0,0,0,0,0,2749.63,76.23,0,0,1132.98,0,15.77,10.51,0,2.63,0,0,0,0,0,0,0
 10-12,0,66.09,0,113.29,0,18.88,0,195.11,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,1752.86,22.03,0,0,648.28,0,12.59,6.29,0,91.26,6.29,0,0,0,0,0,0
 14-21,0,0,0,10,209,30,0,70,0,0,0,27,3,2,1,1,8,0,0,0,1,102,0,0,68,999,22,1,6,32,0,23,0,130,6,85,348,0,0,7,0,0
 24-34,0,0,0.82,0.82,117.38,0.82,0,182.23,0,0.82,2.46,41.04,0,0,4.1,1.64,1.64,0,4.1,0,0,137.08,0.82,1.64,73.06,1227.18,32.83,9.03,18.06,0,0,49.25,0,1.64,2.46,11.49,345.58,0,0,25.45,0,3.28
 36-46,0,0,0,0,42.7,0,0,467.29,0.81,4.83,1.61,30.62,0.81,0,1.61,6.45,0,1.61,0.81,0,0,161.94,2.42,3.22,54.79,1129.55,16.11,12.09,5.64,0,0,20.95,0,0.81,1.61,0,294.87,0,0,13.7,0,3.22
 48-58,0.57,0,0,0,36.15,1.15,0,605.94,0.57,6.31,1.15,40.74,2.3,0,1.72,2.3,2.3,5.16,2.3,3.44,0,200.26,0.57,6.89,36.15,578.4,7.46,3.44,8.61,0,0,14.92,0,0,0,0,107.88,0,0.57,12.62,0,2.87
 60-70,0,0,0.98,0.98,45.15,0.98,0,315.07,0,7.85,0,63.8,2.94,0,0.98,2.94,0,12.76,7.85,3.93,0,147.23,0,11.78,12.76,256.18,4.91,3.93,7.85,0,0,6.87,0,0,0,0,18.65,0,2.94,5.89,0.98,0.98
 72-82,0,0,0.98,0,49.08,9.82,0,183.57,0.98,4.91,2.94,73.62,11.78,0.98,0,8.83,1.96,14.72,1.96,2.94,0,209.09,1.96,6.87,29.45,235.6,0.98,6.87,5.89,0,1.96,4.91,0,0,1.96,0,10.8,0.98,1.96,16.69,2.94,1.96
 84-94,0,0,1.06,0,59.47,13.81,1.06,167.8,0,5.31,8.5,39.3,11.68,0,0,15.93,3.19,10.62,1.06,3.19,2.12,151.87,1.06,15.93,25.49,173.11,1.06,7.43,7.43,0,1.06,4.25,0,0,2.12,0,6.37,1.06,5.31,18.05,5.31,2.12
 96-106,0,0,0,0,62.29,15.3,1.09,110.38,0,6.56,3.28,52.46,13.11,0,9.84,36.06,5.46,7.65,3.28,3.28,1.09,126.77,3.28,12.02,19.67,127.86,1.09,6.56,13.11,0,4.37,9.84,0,0,3.28,0,7.65,0,1.09,10.93,5.46,2.19
108-118,0,0,2.3,3.06,36.77,9.19,0,104.17,0.77,12.26,3.83,39.83,8.43,0,0.77,13.02,3.06,9.96,2.3,4.6,0,112.6,0.77,9.96,13.79,213.7,1.53,7.66,6.89,0,2.3,6.89,0,0,3.06,0,6.89,0,3.83,11.49,0.77,2.3
120,0,0,0,0,25.48,7.84,1.96,99.95,0,7.84,1.96,39.2,5.88,0,0,25.48,3.92,1.96,0,5.88,1.96,88.19,0,7.84,17.64,172.46,3.92,3.92,1.96,0,0,21.56,0,0,0,0,7.84,1.96,1.96,7.84,3.92,0
