stage,blastomeres,epidermis,eye,glial,gut,hatching_gland,ionocyte,mesenchyme,mural_cell,neural,otic,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,11.49,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,21.75,0,0,6.45,0,0
 48-58,0,0,0.57,0,0.57,0,0,1.15,0,30.41,0,0,2.87,0,0
 60-70,0,0,1.96,0,0,0,0,0.98,0,53.98,0,0,3.93,0,0
 72-82,0,0,19.63,0.98,0.98,0,0,2.94,0,88.35,0,0,2.94,0.98,0
 84-94,0,0,11.68,0,0,0,0,6.37,1.06,41.42,0,0,1.06,0,0
 96-106,0,3.28,9.84,1.09,0,0,1.09,2.19,0,46.99,0,0,1.09,0,0
108-118,0,0.77,9.96,0.77,0,0,0,7.66,0,49.79,0,0,0,0.77,0.77
120,0,1.96,9.8,3.92,1.96,0,0,3.92,0,107.79,1.96,0,0,0,0
