stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,11,12,1,0,0,0,0,5,137,86,3,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,2.46,0,0,0,0,0,4.1,0,0,18.88,7.39,0,0,0,0,0.82,0,1.64,5.75,8.21,0,0,0,0
 36-46,0,0.81,0,0.81,0,0.81,0,0,0,0,0,5.64,0,0,0,0,0,16.11,1.61,0.81,65.26,0.81,1.61,0.81,0,0.81,0,0,0,0,10.47,0,0,0,0
 48-58,0,0,0,3.44,0,9.18,0,0,0,1.72,0,2.3,0,0,0,0,0,27.54,1.72,0.57,72.3,0.57,2.3,1.72,0,0.57,0.57,0,0,0,13.2,1.15,0,0,0.57
 60-70,0,0,0,3.93,0.98,33.37,0,0,0,1.96,0,3.93,0,0,0,0,0,59.87,4.91,2.94,163.91,0,0,3.93,0,1.96,0,0,0,0,10.8,1.96,0.98,0.98,0
 72-82,0,2.94,0,1.96,0,16.69,0,0,0,1.96,0,4.91,0.98,0,0,0,0,97.18,12.76,7.85,46.14,0,1.96,11.78,0,0.98,0.98,0,0,0,0,11.78,0,4.91,0.98
 84-94,0,1.06,0,5.31,0,24.43,4.25,0,0,5.31,1.06,0,1.06,1.06,0,1.06,0,74.34,13.81,3.19,30.8,0,1.06,18.05,0,0,0,0,1.06,0,0,7.43,0,9.56,0
 96-106,0,3.28,1.09,3.28,1.09,16.39,3.28,1.09,1.09,3.28,3.28,3.28,0,0,1.09,0,0,96.17,10.93,8.74,22.95,0,1.09,30.6,0,1.09,1.09,0,0,0,0,10.93,1.09,3.28,1.09
108-118,0,0.77,0,8.43,0.77,16.09,2.3,0.77,0,2.3,1.53,2.3,0,0,0,0,0,63.57,11.49,7.66,26.81,0,0.77,22.21,0,2.3,0,0,0,0,0,6.13,0,0,0
120,0,0,0,9.8,0,13.72,3.92,0,0,0,0,3.92,0,0,0,1.96,1.96,45.08,9.8,3.92,23.52,0,1.96,15.68,0,0,0,0,0,0,3.92,3.92,0,1.96,0
