stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,15.73,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,1,13,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,1,0,1,4,1,0,0,0,0,0,2,0,1,7,2,0,0,0,0,0
 24-34,0,0,8.21,2.46,0,0,1.64,0,0,0.82,0.82,0.82,0,0,2.46,0,0,0,0,9.03,2.46,0,4.1,18.06,0,0.82,0,0,0,1.64,0,0,2.46,3.28,4.1,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0,0,1.61,0,0,1.61,10.47,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,0,0,0,0,3.44,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.93,0.98,0,0,0.98,1.96,0.98,0.98,0,0,0,0,0,0,2.94,0,0,0,6.87,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,1.96,0,56.94,2.94,0,0.98,0.98,3.93,0.98,0,0,0,0,1.96,1.96,0,6.87,0,0,0.98,24.54,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,104.08,5.31,0,0,0,3.19,3.19,0,0,0,0,0,2.12,0,6.37,0,0,0,13.81,0,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0
 96-106,0,5.46,0,16.39,6.56,306,50.27,2.19,3.28,4.37,14.21,10.93,0,6.56,3.28,4.37,3.28,16.39,0,52.46,2.19,4.37,6.56,157.37,1.09,4.37,5.46,0,1.09,24.04,0,0,0,0,3.28,0,3.28,8.74,3.28,3.28
108-118,0,2.3,0,19.92,9.19,634.22,78.13,0.77,4.6,3.06,26.81,13.79,0.77,9.96,1.53,4.6,1.53,41.36,4.6,62.81,0.77,1.53,9.19,219.83,1.53,3.83,4.6,0,2.3,35.23,0,1.53,0,0,1.53,2.3,0,5.36,4.6,8.43
120,0,3.92,0,21.56,3.92,286.13,52.91,0,5.88,1.96,17.64,7.84,1.96,5.88,5.88,3.92,1.96,23.52,0,47.03,1.96,0,13.72,162.66,5.88,1.96,0,0,1.96,23.52,0,3.92,1.96,0,1.96,0,0,3.92,0,3.92
