stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,13.13,0.82,0,0.82,4.1,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,23.36,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,5.16,0.57,0,0,36.72,0,0,0.57,5.74,0,0,0,0
 60-70,0,0,0,0,0,3.93,0.98,0,0,63.8,0,0,0,9.82,0,0,0,0
 72-82,0,0,0.98,0,0.98,18.65,3.93,0.98,2.94,60.86,0,0.98,0,8.83,0,0,0,0
 84-94,0,0,0,0,1.06,15.93,2.12,1.06,2.12,48.85,0,0,0,3.19,0,0,0,1.06
 96-106,0,0,0,0,1.09,14.21,0,0,3.28,34.97,0,0,0,2.19,0,1.09,0,0
108-118,0,0,0,0.77,0,16.85,0,0.77,2.3,25.28,0,0,0,2.3,1.53,0,0,0
120,0,0,0,0,3.92,15.68,0,1.96,1.96,37.24,0,0,0,3.92,0,0,0,0
