stage,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0.82,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,1.61,0.81,1.61,0,0,0,0.81
 48-58,0,0,0,0,0,0.57,0,0,0,2.3,0,0,3.44,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,2.94,0,0,5.89,0.98,0,0,0,0,0
 72-82,0,0,0,3.93,1.96,0,0,0,0,7.85,0,1.96,4.91,0,6.87,0,0,0,0
 84-94,0,0,1.06,0,4.25,0,0,0,0,2.12,0,0,0,0,14.87,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,1.09,1.09,2.19,1.09,0,0,1.09,18.58,0,1.09,1.09,0
108-118,0,0.77,0,1.53,9.19,0,0,0.77,0,5.36,0,0.77,1.53,0.77,13.79,0,0,2.3,0
120,0,0,0,1.96,3.92,0,1.96,0,0,1.96,0,0,7.84,0,11.76,0,0,0,0
