stage,axial,blastomeres,endoderm,eye,lateral_line,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,7.89,0,2.63,0,0,0,0
 10-12,0,0,6.29,0,0,0,15.73,3.15,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0.82
 48-58,0,0,0,0,0,0,1.72,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0.98,1.96,1.96,0,0,0.98,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0
