stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,10,2,8,0,0,0,1,0,0,0,0,2,0,0,3,7,0,6,72,2,0,1,5,0,4,5,0,1,13,24,0,2,0,1
 24-34,0,0.82,1.64,0.82,11.49,0,0,0,4.93,0.82,0.82,0,0,0,1.64,0,0.82,16.42,0,1.64,93.58,1.64,0,0.82,0,0,2.46,0,0.82,0.82,1.64,21.34,0,1.64,0,0.82
 36-46,0,0,0,0,8.06,0,0,0,4.83,0,0,0,0,0.81,0.81,0,3.22,7.25,0,2.42,60.43,0,0.81,0.81,0,0,1.61,0,0.81,0,0,11.28,0,0,0,0
 48-58,0,0,1.15,0,14.35,0.57,0,1.15,5.74,0,0.57,0,0,1.15,1.15,0,0.57,18.94,0.57,2.87,36.15,0,1.15,1.72,0,0,2.87,0,0,0,0,9.75,0,2.87,0,0
 60-70,0,0,0.98,0.98,15.7,0,0.98,0,8.83,0.98,0,0,0,0,0,0.98,0,19.63,0.98,2.94,35.33,0,0.98,1.96,0,0,0,0,0.98,0,0,2.94,0,0,0,0
 72-82,0,0,1.96,0,8.83,0,0,0,9.82,0.98,0.98,0,0,0,0,0,0,12.76,1.96,2.94,29.45,0,0,1.96,0,0,0,0,0,0,0,3.93,0.98,0,0,0
 84-94,0,0,2.12,0,4.25,0,0,0,5.31,0,0,0,0,0,0,0,0,10.62,1.06,3.19,7.43,0,2.12,1.06,0,0,4.25,0,0,0,0,2.12,0,3.19,0,0
 96-106,0,0,1.09,0,9.84,0,1.09,0,8.74,2.19,0,0,0,1.09,1.09,0,0,7.65,1.09,1.09,14.21,0,1.09,2.19,0,1.09,6.56,0,0,0,0,1.09,0,2.19,1.09,0
108-118,0.77,0,3.83,0,3.06,0,0,0,3.06,0,0,1.53,0.77,0.77,0,0,0,5.36,0,2.3,15.32,0,0,0,0,0,1.53,0,0.77,0,0,0.77,0,3.06,0,0
120,0,0,3.92,0,3.92,0,0,1.96,5.88,1.96,0,0,0,0,0,0,0,7.84,1.96,0,13.72,0,3.92,3.92,0,0,5.88,0,0,0,0,1.96,0,0,1.96,0
