stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,116.46,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,0,0,2.63,31.54,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,0,0
 14-21,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,7.39,0,0.82,0,0,0,0,0,0,4.93,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0,0.81,6.45,0,0,0,2.42,1.61,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,0,1.15,2.87,0.57,0,0,3.44,0,0.57,0
 60-70,0,0,0,0,0.98,0,0.98,0,1.96,0.98,0,0,0,3.93,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,1.96,0,0,1.96,0,0.98,3.93,0,0,1.96,0,0,0
 84-94,0,0,0,0,1.06,1.06,8.5,0,3.19,1.06,1.06,0,0,2.12,0,0,0,8.5,1.06,1.06,1.06
 96-106,0,0,0,0,1.09,0,3.28,0,2.19,1.09,0,0,2.19,5.46,2.19,0,0,6.56,2.19,0,1.09
108-118,0,0,0,0.77,1.53,0.77,3.83,0.77,2.3,0,2.3,0,0,2.3,0.77,0,0,3.83,0.77,0,2.3
120,0,0,1.96,1.96,0,0,0,0,1.96,1.96,0,0,0,1.96,0,1.96,0,3.92,0,0,0
