stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,158.14,3742.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0
  5-6,140.98,1563.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,18.39,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,89.38,5.26,0,0,31.54,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,33,105,0,0,0,0,0,2,0,0,1,28,0,0
 24-34,0,0,0,0,22.16,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,197.01,17.24,4.1,0.82,0,0,0,0,0,0,0.82,94.4,0.82,0
 36-46,0,0,0,0.81,53.17,0,0,0.81,0.81,0,0,0.81,0,0,0,0,1.61,0,0,2.42,203.03,8.86,0.81,0,0,0.81,0,0,0,0,0,93.46,0,0
 48-58,0,0,0,0.57,65.99,0,0,0.57,2.3,0,0,0,0,0,0.57,0,4.59,0,0,0.57,78.61,4.59,1.15,0,0,0,0,0,0,0,0,51.64,0,0
 60-70,0,0,0,0,111.89,0,0,0,3.93,0,0,0,0,0,0,0,4.91,0,0,0,41.22,0.98,0,0,0,0.98,0,0,0.98,0,0,16.69,0,0
 72-82,0,0,0,0.98,47.12,0,0,0,1.96,0,0,0,0,0,0,0,3.93,0,0,0,32.39,2.94,0.98,0.98,0,0,0,0,0,0,0,2.94,0.98,0.98
 84-94,0,0,0,2.12,27.61,0,1.06,0,4.25,1.06,0,0,0,1.06,0,0,1.06,0,0,1.06,15.93,7.43,1.06,0,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,19.67,1.09,0,0,3.28,2.19,0,0,1.09,0,2.19,0,0,1.09,0,0,14.21,4.37,2.19,0,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,15.32,0,0,0,3.06,0.77,0,0,0.77,0,0,0.77,2.3,0,0.77,0,14.55,3.83,0,0.77,0,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,25.48,0,0,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0,0
