stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,immune,mesenchyme,muscle,neural,notochord,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,1,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,21.34,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,33.84,0,0.81,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,37.87,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0,0.98,0,43.19,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,89.33,0,0,0.98,0.98,0,0.98,0.98,0
 84-94,0,0,0,0,0,124.26,0,0,0,0,0,0,3.19,0
 96-106,0,1.09,0,1.09,0,155.18,1.09,0,2.19,0,0,0,7.65,0
108-118,0.77,0,0.77,0.77,0.77,153.96,0.77,0,2.3,0,0,0,3.83,0
120,0,0,0,0,1.96,158.74,0,0,3.92,0,0,0,3.92,0
