stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,16,0,0,1,0,0,0,1,0,0,1,5,0
 24-34,0,0,0.82,1.64,0,1.64,0,2.46,0,0,0,0,0,0,0,4.1,0,0,2.46,30.37,2.46,3.28,0.82,0,1.64,0,0,0.82,1.64,1.64,13.13,0.82
 36-46,0,0,0,0,0,4.03,0,0.81,0,0,0,0,0,0,0.81,3.22,0,0,0,27.39,0.81,1.61,0,0,0.81,0,0,0,1.61,0,8.06,2.42
 48-58,0.57,0,0,0,0,5.16,0,1.72,0,0,0,0.57,0,0.57,0,5.16,0,0,0.57,18.36,1.72,1.15,0,0,0,0,0,0,0.57,0,5.16,0
 60-70,0,0,0,0,0,3.93,0,1.96,0.98,0,0,0,0,0,0,8.83,0,0,0,23.56,0.98,1.96,0,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,2.94,0,0.98,0.98,0,0,0,0,0,0,4.91,0,0.98,0.98,24.54,0,1.96,2.94,0,0,0,0,0,0,0,2.94,0.98
 84-94,0,0,0,1.06,1.06,5.31,1.06,1.06,0,0,0,0,0,0,0,3.19,0,1.06,0,14.87,0,1.06,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,6.56,4.37,0,2.19,1.09,1.09,1.09,0,0,1.09,0,2.19,0,0,3.28,13.11,1.09,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,2.3,3.06,2.3,0,3.06,0,0,0,0,0,0,0,0,0.77,0,0,12.26,0,0,0.77,0,0.77,0,0,0,1.53,0,0,0.77
120,0,0,0,0,3.92,3.92,0,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,23.52,0,0,1.96,0,0,0,0,0,0,0,0,0
