stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,31.54,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,1,18,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0.82,116.56,0,0.82,0.82,0,0,0,38.58,0.82,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,4.03,0,0,0,0,0,3.22,0,0.81,275.54,0,0,0,0,1.61,0,66.87,0,0,0
 48-58,0,0,0.57,0,0,29.84,1.15,0,0,11.48,0,0,0,0.57,0,10.9,0,0,345.43,0,0,0.57,0,1.15,0,84.92,0,0,0.57
 60-70,0,0,0,0,0,133.49,0,0,0,8.83,0.98,0,0,0,0,9.82,0,0.98,500.58,0,0,0.98,0,0,0,77.54,0,0,0
 72-82,0.98,0,2.94,0.98,0,246.4,0,0.98,0.98,13.74,0.98,0,0.98,0,0.98,30.43,0.98,0.98,448.62,0,0.98,0,0,0,0,35.34,0.98,3.93,0.98
 84-94,0,0,4.25,0,0,129.57,0,0,0,16.99,1.06,0,0,0,0,14.87,1.06,1.06,186.92,0,0,0,0,0,0,25.49,0,0,0
 96-106,0,0,2.19,2.19,1.09,116.93,0,0,0,9.84,0,0,0,0,0,16.39,0,0,140.98,0,0,2.19,0,2.19,0,10.93,0,1.09,0
108-118,0,0,0.77,0.77,0,96.51,0,0,0.77,8.43,5.36,0,0,0,0,9.19,0,0.77,178.47,0,0.77,0.77,0,0,0,6.89,0.77,0,0
120,0,0,1.96,0,0,50.95,0,1.96,1.96,15.68,0,0,0,1.96,0,7.84,0,0,170.5,0,1.96,0,0,0,0,15.68,0,0,0
