stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,7,2,0,2,0,0,0,0,1,0,0,0,0,4,0,0,2,4,0,0,0,0,1,1,0,0,5,3,0,0,0,0,0
 24-34,4.93,0,0,4.1,0,0.82,0.82,0,0,0.82,0.82,0,0.82,4.93,0,0,3.28,9.03,0.82,0,0,0,0,0,3.28,0,0,4.1,0,0,1.64,0,0.82
 36-46,3.22,0,0,2.42,0.81,0.81,0,0,1.61,1.61,0.81,0.81,0.81,1.61,0,0.81,0.81,9.67,0.81,0,0,0,0,0,1.61,0,0,0.81,0,0,3.22,0,0
 48-58,8.61,0,0,2.87,0,0,0,1.15,1.15,2.87,0,0,0,5.74,0,0.57,0.57,16.07,0.57,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0
 60-70,7.85,0,0,2.94,0,2.94,0.98,1.96,0.98,7.85,0.98,0.98,0.98,11.78,0,0.98,1.96,32.39,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0.98
 72-82,9.82,0,0,5.89,0,0,1.96,2.94,0.98,7.85,0.98,2.94,1.96,32.39,0,0.98,1.96,19.63,0,0,0,0,0,0,0.98,0,0,0,0,1.96,0.98,0,0
 84-94,19.12,0,1.06,4.25,0,2.12,0,1.06,4.25,19.12,0,0,8.5,13.81,0,0,0,10.62,0,0,0,0,1.06,0,2.12,0,0,2.12,0,0,2.12,0,0
 96-106,14.21,0,1.09,2.19,0,3.28,0,3.28,1.09,20.76,0,3.28,4.37,16.39,0,0,1.09,13.11,0,1.09,0,4.37,3.28,0,4.37,0,0,0,0,0,0,1.09,0
108-118,19.15,0,0.77,5.36,0,2.3,3.06,6.13,1.53,19.92,0.77,6.89,6.89,13.02,0.77,0,0.77,6.13,0,0.77,0,0,1.53,0,1.53,0,0,0,1.53,0,1.53,0,0.77
120,27.44,0,0,3.92,0,5.88,1.96,7.84,5.88,25.48,0,5.88,21.56,11.76,0,0,5.88,17.64,0,0,1.96,0,0,0,11.76,0,0,0,0,1.96,1.96,0,0
