stage,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,immune,lateral_line,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,13.14,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,1.15,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0.98,0,1.96,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,1.06,0,0,1.06,0,1.06,0
 96-106,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0,1.53,0,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0
