stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,6.29,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,1,18,0,19,0,3,3,1,0,0,0,0,0,0,1,2,0,0,0,1,0
 24-34,0,0,0,0,0.82,2.46,0,0,0,0,10.67,0,4.1,0,1.64,12.31,0,0.82,0.82,0,0,0,0,0,0.82,13.13,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,9.67,0,4.03,0,0.81,17.72,0,0,0,0,0,0,0,0,0,6.45,0,0,1.61,0
 48-58,0,0,0,0,0,0.57,0,0.57,0.57,0,5.16,0,2.87,0,0.57,21.23,0,0.57,1.15,0,0.57,0,0,0,0,4.59,0,0.57,0,0
 60-70,0,0,0,0.98,0,0.98,0.98,0.98,1.96,0,5.89,0,2.94,0,0,12.76,0,0,3.93,0,0,0,0,0,0,2.94,0,0.98,0,0
 72-82,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0.98,4.91,0.98,0.98,36.32,0,0,6.87,0,0,0,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,1.06,4.25,0,2.12,0,0,10.62,0,0,14.87,0,0,0,0,0,0,1.06,1.06,0,0,1.06
 96-106,0,0,0,1.09,0,2.19,1.09,0,0,0,8.74,0,6.56,0,0,9.84,0,0,7.65,0,0,0,2.19,0,0,1.09,0,0,0,1.09
108-118,0,0,0,1.53,0,1.53,0,0.77,0.77,1.53,6.89,0,1.53,0,0,12.26,0,0,7.66,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,3.92,0,0,0,0,0,0,3.92,0,3.92,0,0,19.6,0,0,7.84,0,0,0,0,0,0,0,0,0,0,1.96
