stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,1634.06,23628.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751.14,0,0,0,0,0,0,0,0
  5-6,2249.58,21747.95,49.04,0,0,0,0,0,0,0,67.43,0,0,0,0,0,0,0,0,0,882.67,61.3,275.83,410.69,0,0,0,0,0,0,0,0
  7-9,289.16,220.81,812.27,0,2.63,126.18,0,0,0,0,157.72,0,0,0,0,0,0,0,0,0,5599.16,394.31,4594.99,42.06,42.06,0,0,0,0,0,0,0
 10-12,0,25.18,289.52,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633.28,110.14,1935.39,3.15,6.29,0,59.79,0,0,0,0,0
 14-21,0,0,2,6,5,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,13,28,134,0,0,50,2,9,4,23,0,0
 24-34,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,2.46,0,1.64,16.42,0.82,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,4.83,0,0,0.81,0,0,0,0,0,0,0,0,3.22,0,0,20.14,0,0,0,0,0,0,0,0,5.64,0,0
 48-58,0,0,0,0,0,5.74,0,0,1.72,0,0,0,0,0.57,0.57,0,0.57,2.3,0.57,0,14.92,0,0,0.57,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,0,8.83,0,0,0.98,0,0,0.98,0,0,0,0,0,1.96,0,0,11.78,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,7.85,0,0,0.98,0,0,0,0,0,0,0.98,0,2.94,0,0.98,14.72,0,0,0,0,0,0,0,0,1.96,0.98,0.98
 84-94,0,0,0,0,0,10.62,1.06,0,0,0,0,1.06,0,0,0,0,0,2.12,0,0,3.19,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,6.56,0,2.19,1.09,0,0,0,1.09,0,0,0,0,2.19,1.09,0,9.84,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,3.83,0,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,3.92,0,0,0,0,0,0,0,0,0,0,0
