stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,140.98,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,0,0,0,0,10,2,0,0,1,0,0,0,0,0,0,15,1,0,0,0,35,4,41,0,0,0
 24-34,0,0,0.82,20.52,0,0,1.64,0,0,0,13.13,0,0.82,0,5.75,0,0.82,0,0.82,2.46,1.64,25.45,0.82,1.64,3.28,0,119.84,19.7,51.71,0,0,1.64
 36-46,0,0,0,19.34,0,0,3.22,0,0,0,13.7,0,0,0,0.81,0,0,0,0,0.81,0,20.14,0,0,1.61,0,118.43,3.22,15.31,0,0,0
 48-58,0,0,0,12.05,0,0,9.75,0,0.57,0,12.62,0.57,0.57,0,2.3,0,0.57,0,1.72,2.87,0,20.66,0,1.15,1.72,0,73.45,1.15,13.77,0,0,0
 60-70,0,0,0,16.69,0,0,18.65,0,1.96,0,27.48,3.93,0.98,0,0.98,0,0.98,0,1.96,3.93,0,13.74,0,0,1.96,0,77.54,2.94,10.8,0.98,0,0.98
 72-82,0,0,0.98,19.63,0,0,35.34,0,0,0,44.17,4.91,0.98,0.98,6.87,0,1.96,0,3.93,10.8,0,19.63,0,1.96,8.83,0,95.22,1.96,11.78,0.98,0,0
 84-94,0,0,0,32.92,1.06,0,33.99,0,7.43,1.06,20.18,19.12,1.06,1.06,21.24,0,1.06,2.12,3.19,11.68,0,13.81,0,2.12,5.31,0,260.2,1.06,4.25,3.19,1.06,0
 96-106,0,2.19,0,38.25,0,2.19,31.69,1.09,1.09,0,39.34,13.11,0,1.09,17.49,0,5.46,2.19,4.37,5.46,1.09,19.67,0,1.09,12.02,0,238.24,3.28,8.74,1.09,0,0
108-118,0,0,0,52.09,1.53,4.6,26.81,0,6.13,0,23.74,27.57,0,3.06,9.19,0.77,0.77,3.83,3.83,3.83,0.77,7.66,0,0.77,9.19,0,154.72,2.3,7.66,3.83,0,0
120,0,0,0,52.91,0,5.88,15.68,0,5.88,0,13.72,15.68,0,3.92,7.84,0,1.96,1.96,1.96,7.84,0,11.76,0,1.96,5.88,0,115.63,1.96,1.96,3.92,0,0
