stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,6.57,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,7.25,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,1.15,0,1.15,0,3.44,0,0,0,0,0,0,1.15,3.44,0,0,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,1.96,2.94,0,5.89,0,0,2.94,1.96,1.96,0,0,0,1.96,2.94,0,0,0,0,0,0,3.93,0,0,0
 72-82,0,2.94,0,1.96,0,0,19.63,0,1.96,0.98,2.94,0.98,0,0,0,2.94,5.89,0,0,0,0,0,0,0,0,0,0
 84-94,0,5.31,0,3.19,7.43,0,13.81,0,0,0,0,1.06,0,0,0,0,7.43,0,1.06,0,0,0,0,1.06,0,1.06,0
 96-106,0,3.28,0,3.28,4.37,0,10.93,0,3.28,0,2.19,3.28,0,1.09,0,3.28,5.46,0,0,0,0,0,0,0,2.19,0,0
108-118,0,3.83,0,9.96,16.09,0.77,13.79,0,5.36,0,1.53,1.53,0,0,0.77,3.06,7.66,0,0.77,0,1.53,0.77,0,0,2.3,0,0
120,0,3.92,0,9.8,7.84,0,13.72,0,0,1.96,1.96,0,1.96,0,1.96,1.96,3.92,0,0,0,0,0,0,0,3.92,0,1.96
