stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0,68,0,0,0,0,0
 24-34,0,1.64,0.82,0.82,0,3.28,0,0,0,3.28,0,0.82,0,0,0.82,0,0,2.46,0,0,0.82,370.21,0.82,0,0,0,0.82,0,1.64,139.55,0,0,0,0,0
 36-46,0,0,2.42,1.61,0,14.5,0.81,0.81,0.81,21.75,0.81,0,0,0,0,0,0.81,7.25,0,0,0,961.16,0,0,0,0,1.61,0,0,141.8,0,0,1.61,0,0.81
 48-58,0,0,2.3,2.3,0,62.54,0.57,1.15,0,68.28,0,0,1.15,0.57,0,0,1.15,14.35,0,0,2.3,1142.45,0,0,1.72,0,1.15,0.57,0,115.33,0,0,0,0,0.57
 60-70,0,0,0,1.96,0,69.69,0,0.98,0,44.17,0,0,0.98,0,0,0,0,20.61,0,0,0.98,1168.01,0,0.98,0,0,0,0,0,80.48,0,0.98,3.93,0,1.96
 72-82,0,0,15.71,6.87,0,162.96,0.98,0,1.96,36.32,0,1.96,1.96,0,0,0,0,40.25,0.98,0.98,3.93,1113.2,0.98,0,2.94,0.98,0.98,0.98,0,54.97,0,0,1.96,2.94,0.98
 84-94,0,0,13.81,8.5,0,164.62,1.06,0,0,38.23,0,3.19,0,2.12,1.06,0,0,11.68,0,1.06,2.12,621.29,0,0,1.06,1.06,4.25,3.19,0,37.17,1.06,2.12,1.06,2.12,0
 96-106,0,0,16.39,5.46,1.09,114.75,2.19,1.09,0,27.32,2.19,3.28,0,2.19,0,1.09,0,29.51,0,2.19,3.28,463.37,0,0,0,1.09,2.19,0,0,17.49,0,1.09,4.37,1.09,1.09
108-118,0,0,6.89,5.36,1.53,79.66,0.77,0,1.53,8.43,0,2.3,0,0,0,0,0.77,15.32,0,0.77,0.77,577.54,0,0,1.53,0.77,0.77,0,0,12.26,0,0.77,2.3,0,0
120,0,0,17.64,5.88,0,109.75,0,0,0,29.4,1.96,0,0,0,0,0,0,19.6,0,0,3.92,574.22,0,0,1.96,0,3.92,0,0,15.68,0,1.96,0,0,1.96
