stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,22.03,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,2,5,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,36,0,0,0,0,0,0,1,0,6,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.91,0,0.82,0.82,0,0,0,0,0,10.67,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,26.59,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0.81,0,0,90.23,0,1.61,1.61,0,0,0,0,0,22.56,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,152.06,0,0,0,53.94,0,0,0,0,0,0,0,0,0,4.02,0,0.57,114.76,0,1.15,5.74,0,0,0,0,0,44.18,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,0,1239.66,0,0.98,0,179.62,0,0,0.98,0,0,0,0,0,0,6.87,0.98,0,117.78,0,0.98,1.96,0,0,1.96,0,0.98,45.15,0,1.96,1.96,0,0
 72-82,0,0,0,0,10.8,2.94,0,1633.49,0,0,1.96,254.25,1.96,0,0,0,0.98,0.98,1.96,0,0.98,29.45,0,0.98,124.67,0,1.96,16.69,0,0,3.93,0.98,0.98,24.54,0,0.98,0.98,1.96,2.94
 84-94,0,0,0,0,19.12,0,0,1341.35,0,1.06,1.06,156.12,1.06,0,0,1.06,0,1.06,4.25,0,0,14.87,2.12,3.19,78.59,1.06,0,16.99,0,0,2.12,0,0,26.55,0,1.06,2.12,0,0
 96-106,0,0,0,0,13.11,0,1.09,926.73,2.19,0,0,151.91,1.09,0,1.09,4.37,0,1.09,9.84,1.09,0,14.21,1.09,2.19,61.2,0,0,17.49,0,0,2.19,0,1.09,8.74,1.09,1.09,2.19,1.09,1.09
108-118,0,0,0.77,0,3.83,2.3,0,628.09,0,0,0,150.13,0.77,0,0,0,0,0,5.36,0.77,0.77,14.55,0,0.77,54.38,1.53,0,17.62,0,0.77,2.3,0,0,7.66,0,0,0.77,0.77,0
120,0,0,0,0,13.72,5.88,0,480.15,1.96,3.92,1.96,160.7,0,0,0,0,0,0,5.88,0,0,17.64,0,1.96,72.51,0,0,3.92,0,0,0,0,0,3.92,0,0,0,0,1.96
