stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,18.88,0,0,3.15,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,22.03,25.18,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,14,0,1,0,0,0,0,1,5,0,0,0,0,0,6,0,0,2,6,7,0,0,0,0,0,0,12,66,44,17,0,0,0
 24-34,1.64,7.39,0,0.82,10.67,0,0,0,1.64,0,0,0,0,0,0.82,2.46,0,0,3.28,9.85,3.28,0,0,0,0,0.82,0,0,15.6,6.57,17.24,0,0,0.82
 36-46,0,0,0,1.61,27.39,0,0,0.81,0.81,0,0,0,0,0,0,8.06,0,0,2.42,17.72,0,0.81,0,0,0,0,0,0,8.06,0,5.64,0,0,0
 48-58,0,0.57,0,10.33,41.89,0,0,1.15,0,0,0.57,0.57,0,0.57,0,2.3,0,0,2.87,21.23,0.57,0.57,0,0,0.57,0,0,0,6.89,0,4.59,0,0,0
 60-70,0,0,0,6.87,30.43,0,0,0,0,0,0,0,0,0,0,2.94,0.98,0,1.96,10.8,0.98,0,0,0,0,0,0,0,6.87,0,3.93,0,0,0.98
 72-82,0,0,0,9.82,26.5,0,0,1.96,0,0,0,0,0,0,0,14.72,0,0,7.85,12.76,0,0.98,0.98,0,0,0.98,0,0,7.85,0,0.98,0,0.98,0
 84-94,0,0,1.06,7.43,24.43,1.06,0,0,0,0,0,1.06,1.06,0,0,3.19,0,0,2.12,8.5,2.12,0,0,0,0,7.43,0,0,10.62,0,0,0,2.12,0
 96-106,0,1.09,2.19,6.56,49.18,2.19,1.09,0,0,0,0,1.09,2.19,0,0,5.46,1.09,1.09,4.37,8.74,0,1.09,1.09,0,1.09,3.28,1.09,0,6.56,0,0,1.09,5.46,1.09
108-118,0,0.77,1.53,3.06,25.28,0,0,2.3,0,0,0,0,0,0,0,3.83,0,0,6.13,15.32,0,0,0.77,0,0,0.77,0,0,7.66,0,0.77,0,4.6,0
120,0,3.92,0,5.88,25.48,0,0,0,0,0,0,0,0,0,0,1.96,0,0,5.88,3.92,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0
