stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0.82,0,1.64,4.1,0.82,1.64,0,0,0,0,0.82,1.64,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,4.83,0,0.81,0,0,0,0,1.61,0,0.81,0,0,0
 48-58,0,0,0,0,2.3,0.57,0,0,0,0.57,0,0.57,0,1.15,0,0.57,2.3,0,1.15,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,2.94,0,0.98,0,0,0,1.96,0,0,2.94,0,0,0.98,0,3.93,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,6.87,0,1.96,1.96,0.98,0,0,0,0,2.94,0,9.82,0.98,0,4.91,0,2.94,0.98,0,0.98,0,0.98,0,0,0,0,0.98
 84-94,0,1.06,8.5,0,2.12,0,3.19,0,0,0,1.06,1.06,1.06,9.56,0,1.06,1.06,0,1.06,1.06,0,0,0,4.25,0,0,1.06,0,0
 96-106,0,0,14.21,0,0,0,0,0,0,1.09,0,4.37,0,4.37,1.09,0,0,0,2.19,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,10.72,0.77,3.06,0,0.77,0.77,0,0,0,2.3,0.77,4.6,0,0.77,0,0,3.83,2.3,0,0,0,0,0,0,0,0.77,0
120,0,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,5.88,0,0,0,0,0,0,0,0,0
