stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,1,1,1,0,0,0,0,0,0,7,0,0,0,0
 24-34,0,0.82,0,1.64,0.82,3.28,0,0,0,0,0,0.82,0,0.82,0,0,0.82,0,0.82,45.97,0,9.85,2.46,0,0,0,0,0,0.82,23.8,0,0,0,0
 36-46,0,0,0,0.81,0,6.45,0.81,0.81,2.42,0,0,0,0.81,0,0,0,7.25,0,4.03,97.49,0,8.86,2.42,0,0,0,0,0,0,42.7,0,0,0,0
 48-58,0,0,0,0.57,0,12.05,0,0,2.87,0,0,0,2.3,0,0,0,14.35,0,0.57,102.14,0,9.75,5.74,0,0,0,0,0,0,23.53,0,0,0,0
 60-70,0,0,0,0.98,0,90.3,0,1.96,1.96,0,0,0,7.85,0,0,0,24.54,0,4.91,177.66,0,8.83,2.94,0,0,0.98,0,0,0,30.43,0,0.98,0,0
 72-82,0,0,0,4.91,0,264.07,0,2.94,8.83,0.98,0,0,7.85,0.98,0,0,41.23,0,1.96,161.97,0,20.61,10.8,0,0,0,0,0,0,15.71,0.98,0,0.98,0
 84-94,0,0,0,4.25,0,182.67,0,1.06,16.99,0,0,0,22.3,1.06,0,0,29.74,1.06,3.19,95.58,0,12.74,15.93,0,0,4.25,0,0,0,5.31,1.06,1.06,0,0
 96-106,0,2.19,0,6.56,1.09,175.95,1.09,0,9.84,1.09,1.09,0,9.84,1.09,2.19,0,29.51,2.19,6.56,92.89,0,17.49,10.93,0,0,5.46,0,1.09,0,5.46,1.09,1.09,0,2.19
108-118,0,1.53,0,6.13,0,134.81,0.77,1.53,14.55,0,1.53,0,21.45,0.77,0,1.53,28.34,0,4.6,91.92,0,17.62,14.55,0,0.77,0.77,0.77,0,0,3.83,0,0.77,0,0.77
120,0,0,0,5.88,0,92.11,1.96,0,7.84,1.96,0,1.96,17.64,1.96,0,1.96,21.56,0,3.92,103.87,0,11.76,11.76,0,1.96,0,0,0,0,3.92,0,0,0,0
