stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,2741.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,190.02,2353.78,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,42.91,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,55.2,81.49,0,0,113.03,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,1364.3,34.17,0,0,517.86,5.26,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,31.47,62.94,0,3.15,110.14,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,915.77,6.29,0,0,390.22,3.15,0,3.15,15.73,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,16,2,14,0,0,3,1,0,0,0,2,0,0,0,0,17,0,16,144,3,2,2,4,2,0,12,1,1,7,73,0,0,0,0,0
 24-34,0,0,1.64,7.39,0,36.94,0,0,6.57,0,0,1.64,0.82,0,0,0.82,0,0,27.91,0,14.78,297.15,1.64,0.82,0.82,0,12.31,0,0,0,0,2.46,65.67,0,0,4.93,0,0
 36-46,0,0,0,3.22,0,73.32,0,0,4.03,0,0,0,0,0,0,0,0,0,20.95,0,5.64,186.92,0.81,2.42,0,0,6.45,0,0,0,0,0,37.87,0,0,0,0,0.81
 48-58,0,0,0,2.3,0,94.1,0,0,5.74,1.15,0,0,0,0.57,0,0.57,0.57,0,29.84,1.72,2.87,103.86,0,0,0.57,0,1.72,0,0,0,0,0,12.05,0,0,1.15,0,1.15
 60-70,0,0,0,0,0,77.54,0.98,0,7.85,0,0,0.98,1.96,0,0,0,0,0,18.65,0.98,0.98,41.22,0.98,0.98,0,0,0,0,0,0,0,0,2.94,0,0,0.98,0,0.98
 72-82,0,0,0,1.96,0,32.39,0,0,14.72,0,0,0,0,0,0,0,0,0,27.49,0.98,4.91,39.27,0,2.94,2.94,0,0.98,0,0,0,0,0,2.94,0,2.94,0.98,0,0.98
 84-94,0,0,0,4.25,1.06,22.3,0,0,0,1.06,0,0,1.06,1.06,0,0,2.12,1.06,16.99,2.12,5.31,29.74,0,0,0,0,5.31,0,0,0,0,0,3.19,5.31,3.19,5.31,0,0
 96-106,0,0,0,2.19,0,19.67,0,1.09,5.46,4.37,0,1.09,0,5.46,0,0,0,0,16.39,1.09,4.37,22.95,1.09,1.09,1.09,0,3.28,0,0,0,0,0,1.09,8.74,2.19,5.46,1.09,0
108-118,0,0,0,3.06,1.53,13.02,0.77,0.77,8.43,0,0,0,0.77,3.83,0.77,0,0.77,0,12.26,1.53,2.3,40.6,0,1.53,1.53,0,0.77,0,0,0,0,0,0.77,16.09,3.06,1.53,0,0
120,0,0,0,5.88,0,9.8,0,0,1.96,0,0,0,3.92,5.88,0,0,0,0,11.76,0,3.92,31.36,1.96,1.96,5.88,0,1.96,0,0,0,0,0,1.96,7.84,5.88,0,1.96,0
