stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,177,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,1,0,0,5,0,0,1,3,3,0,23,0,0
 24-34,0,0,0.82,0.82,27.91,0,0,0,17.24,0,0.82,11.49,0,0,0,0,0.82,9.85,0,0,9.85,12.31,0.82,0,0,0,0,0,0,12.31,1.64,0,183.05,0,0
 36-46,0,0,0,0.81,1.61,0,2.42,2.42,53.98,0,0,12.89,0.81,0,0,0,0,29.81,0,0,12.09,6.45,0,0.81,0,0,0.81,0,0,0,1.61,0,151.47,0,0
 48-58,0,0,0,0,0.57,0,1.15,2.3,72.87,0,0,22.95,0,1.15,0,0,0,28.69,0,0,6.31,9.75,0,0,0,0,0,0,0,0,4.02,0,141.16,0.57,0
 60-70,0,0,0,0,0,0,1.96,2.94,99.13,0.98,0,18.65,0,16.69,0,0,0,29.45,0,0,3.93,6.87,0,0,0,0,0,0,0,0,1.96,0,116.8,0,0.98
 72-82,0,1.96,0,0.98,3.93,0,9.82,1.96,118.78,3.93,0,29.45,0,18.65,0,0,0,30.43,0,0,4.91,7.85,0,0.98,0.98,0,0.98,0,0,0,3.93,0.98,186.52,0,0.98
 84-94,0,0,0,0,0,0,7.43,2.12,97.71,2.12,0,13.81,0,32.92,0,0,0,31.86,0,0,7.43,4.25,0,0,1.06,0,1.06,0,0,0,0,0,181.61,0,0
 96-106,0,0,0,3.28,1.09,0,8.74,3.28,84.15,3.28,1.09,29.51,0,40.44,1.09,0,0,20.76,0,1.09,0,15.3,0,0,0,0,0,2.19,0,0,2.19,0,192.34,0,0
108-118,0,0,0,0,3.06,0.77,5.36,3.83,77.36,1.53,0,13.02,1.53,48.26,0,0.77,0,13.02,0.77,0,3.06,6.13,0,0,0,0,0,0.77,0,0,0,0,133.28,0,0
120,0,0,0,1.96,1.96,0,1.96,1.96,58.79,1.96,0,15.68,0,25.48,0,0,0,11.76,0,0,0,9.8,0,0,0,0,1.96,0,0,0,0,1.96,117.59,0,0
