stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,263.56,5113.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,294.22,1366.91,12.26,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,91.94,0,0,6.13,6.13,0,0,0,0,0,0,0
  7-9,36.8,49.95,297.04,0,0,0,134.06,0,0,0,78.86,0,0,0,0,0,0,0,1587.74,5.26,0,294.42,0,2.63,0,0,0,0,0,0
 10-12,6.29,66.09,81.82,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,1636.42,31.47,0,789.89,0,3.15,18.88,9.44,0,12.59,0,0
 14-21,0,3,15,36,19,0,4,0,0,0,0,2,0,1,0,1,32,26,854,11,0,7,2,0,785,2,6,374,45,1
 24-34,0,0,3.28,3.28,0.82,0,1.64,0,1.64,0,0,1.64,0,0.82,0,0,9.85,7.39,210.96,0.82,0,0,0,0,3.28,0,0.82,55,0.82,0.82
 36-46,0,0,0,0,0,0,3.22,0.81,0,0,0,0,0,0,0,0,1.61,0,59.62,0,0,0,0.81,0.81,0,0.81,0,0,4.03,0
 48-58,0,0,0,0.57,0,0,6.89,0,1.72,0,0,1.15,0,0,0,0,1.15,0.57,30.41,0,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0.98,0,0,4.91,0,0.98,0.98,0,0,0,0,0,0,3.93,0.98,8.83,0,0,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0,0,0,0,4.91,2.94,12.76,0,0.98,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,2.12,0,0,1.06,0,1.06,1.06,0,0,0,0,0,3.19,5.31,1.06,10.62,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,0,1.09,0,3.28,1.09,0,0,2.19,0,1.09,1.09,3.28,0,8.74,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,1.53,0,0.77,0,0,2.3,1.53,0,0,0,0,0,1.53,3.06,2.3,7.66,0,0,0,0.77,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,0,1.96,0,0,3.92,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96
