stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,9,0,0,0,0,0,0,0,0,1,0,2,5,0,2,0
 24-34,0,0,0,4.93,0,2.46,0,1.64,0.82,0.82,0,1.64,0,9.03,0,0.82,0,2.46,0.82,0,3.28,11.49,0,1.64,0.82,0,0,0,0,0,1.64,0.82,0.82,8.21,0,13.95,0
 36-46,0,0,0,1.61,0.81,7.25,0.81,0.81,0,3.22,0,2.42,0,6.45,0,0.81,0,9.67,1.61,1.61,2.42,24.98,2.42,0.81,2.42,0,0,1.61,0,0,0,1.61,0,10.47,0,9.67,0
 48-58,0,0,0.57,1.72,0.57,6.31,1.72,0,0.57,4.02,0,0.57,0,2.87,0.57,2.3,0.57,10.33,0.57,0,1.15,12.62,1.15,1.15,1.15,0,0,0.57,0,0,0,2.3,0,6.89,0,7.46,0
 60-70,0,0,0,0.98,0.98,6.87,1.96,0.98,1.96,8.83,0,0.98,1.96,0.98,0,0.98,0,18.65,0,0,1.96,10.8,0.98,2.94,2.94,0,0,0.98,0,0,0.98,0.98,0,1.96,0,8.83,0
 72-82,0,0,0,0.98,0.98,11.78,0.98,0.98,2.94,8.83,0.98,1.96,0,4.91,0,0.98,0,15.71,3.93,0,0.98,4.91,2.94,0.98,2.94,0,0,0,0,0,0,0.98,0,2.94,0.98,14.72,0
 84-94,0,0,1.06,2.12,0,42.48,1.06,0,4.25,5.31,1.06,0,0,7.43,0,1.06,0,7.43,1.06,0,1.06,5.31,4.25,3.19,1.06,0,0,4.25,1.06,0,0,3.19,0,0,0,13.81,0
 96-106,0,0,3.28,0,2.19,43.71,3.28,0,0,3.28,3.28,1.09,0,5.46,1.09,0,0,12.02,2.19,0,2.19,5.46,4.37,4.37,2.19,0,0,1.09,0,0,0,3.28,0,2.19,1.09,16.39,1.09
108-118,0,0,3.06,3.06,2.3,69.7,2.3,1.53,0,2.3,0.77,0.77,0.77,9.19,0,1.53,0,8.43,1.53,0.77,3.06,7.66,3.83,0.77,3.06,0,0,0.77,0,0,0.77,3.83,0,1.53,0,14.55,0.77
120,1.96,0,1.96,1.96,1.96,21.56,3.92,0,0,5.88,3.92,3.92,1.96,5.88,0,1.96,0,3.92,0,0,0,9.8,7.84,3.92,1.96,0,1.96,0,0,1.96,0,1.96,0,0,0,17.64,0
