stage,axial,endocrine_pancreas,epidermis,eye,fast_muscle,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,otic,periderm,somites,spinal_cord
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,4.93,0,3.28,0,0.82
 36-46,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,6.45,0,5.64,0,4.83
 48-58,0,0,0,0,0,0,0,0,0,0,2.3,0,0.57,7.46,0,4.02,0,0.57
 60-70,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0,5.89,0,1.96,0,0.98
 72-82,0,0,0,0.98,0.98,0.98,0,0,0,1.96,1.96,0,0.98,8.83,0.98,6.87,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,0,0,1.06,1.06,0,2.12,1.06,21.24,0,0
 96-106,0,0,3.28,3.28,0,0,2.19,0,2.19,0,1.09,0,1.09,4.37,0,29.51,0,1.09
108-118,0,0.77,3.06,3.06,0,0,0,0,0,0,0.77,0,0,2.3,0,15.32,0,0
120,0,0,0,0,1.96,0,1.96,1.96,0,0,1.96,3.92,0,3.92,0,31.36,0,0
