stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,21.03,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,15.73,0,0,9.44,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,1,4,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0.82,0.82,35.3,0.82,0,0,0,0,0,0,0,11.49,0,0
 36-46,0,0,0,0,1.61,17.72,0,0,0,0,0,0.81,0,84.6,0.81,0,0,0,0,0,0,0,46.73,0,0
 48-58,0,0,0,0,10.33,29.26,0,0,0,0.57,0,0.57,0,162.39,0.57,0,0,0,0,0,0.57,0,57.95,0,0
 60-70,0,0,0,0,55.95,46.13,1.96,0,0,0,0,0.98,0,215.93,0,0.98,0,0,0,0,0,0,48.09,0,0
 72-82,0,0,0,0.98,48.1,68.72,5.89,0,0,0,0,0.98,0,156.08,0,0,0,0.98,0.98,0,0,0,29.45,0.98,2.94
 84-94,0,0,0,2.12,42.48,53.1,7.43,0,0,0,0,1.06,1.06,91.34,0,1.06,0,0,1.06,0,0,0,15.93,0,0
 96-106,0,0,0,1.09,31.69,32.79,6.56,0,0,0,1.09,2.19,1.09,84.15,1.09,0,0,1.09,0,0,0,0,14.21,0,0
108-118,0,0,0,1.53,29.11,36.77,6.89,0,0,0,0,0.77,0,89.62,0,0,0,0,1.53,0,0,0,12.26,0,0
120,0,0,0,1.96,17.64,37.24,5.88,0,1.96,0,0,0,0,78.39,0,0,0,0,0,0,1.96,0,7.84,0,0
