stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,11.28,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,10.47,0,0,0,0,0,0,5.64,0,0,0,0,0
 48-58,0,0,0,0,22.95,0,0,0,1.72,0,0,0,0,0,0,0,0,0.57,1.15,0,0,0,9.18,0,0,0,0,0,0,1.15,0,0,0.57,0,0
 60-70,0,0,0,0,117.78,0,0,0,0.98,0,0,0,0,0,0,0,0,0,2.94,0,0,0,10.8,0,0,0,0.98,0,0,1.96,0,0,0,0,0
 72-82,0,1.96,0.98,0,227.75,0,0,0,7.85,0.98,0.98,0,0,0,0,0,0,0.98,12.76,0,0,1.96,29.45,0,0,0.98,1.96,0,0.98,0.98,0,2.94,0.98,0.98,1.96
 84-94,0,2.12,3.19,0,271.88,0,0,1.06,1.06,2.12,0,0,0,0,0,0,1.06,0,12.74,0,1.06,0,24.43,0,0,0,4.25,0,0,0,0,0,1.06,0,0
 96-106,0,12.02,3.28,0,251.35,1.09,2.19,0,8.74,1.09,0,1.09,1.09,1.09,0,1.09,2.19,0,14.21,1.09,2.19,0,39.34,1.09,3.28,0,6.56,0,0,1.09,0,0,2.19,1.09,1.09
108-118,0,2.3,1.53,2.3,212.17,0,0,1.53,5.36,0.77,0,0,0,0.77,0,0,0.77,0,13.02,0,0,0,39.06,0,0.77,0.77,3.06,0,0,1.53,0.77,0,0.77,0,0
120,0,19.6,0,0,319.45,0,7.84,0,15.68,5.88,0,0,3.92,0,1.96,0,1.96,0,7.84,0,0,1.96,33.32,1.96,1.96,0,3.92,3.92,0,1.96,1.96,0,1.96,0,0
