stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,10.51,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,42.06,7.89,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,160.5,12.59,0,0,62.94,0,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,1,7,0,1,0,47,2,0,0,0,0,6,0,0,3,39,2,5,11,7,0,1,2,42,6,146,0,0,0
 24-34,0,0,0.82,0,3.28,0.82,0.82,0,41.86,0,0,0.82,0,0,5.75,0.82,0,0.82,49.25,1.64,13.13,2.46,0,0,0,0,13.95,0.82,91.94,0,1.64,0
 36-46,0,0,0,0,1.61,0,1.61,0.81,21.75,0.81,0,0.81,0,0,4.03,0,0,1.61,58.01,1.61,12.89,0,0,0,1.61,0,5.64,0,56.4,0,0.81,0.81
 48-58,0,0,0,0,1.15,0,15.49,0,14.35,0,0,0,0.57,0.57,5.16,0,0,2.3,54.51,0,8.03,1.15,0,0,0.57,0,1.72,0,48.2,0,0,0
 60-70,0,0,0,0,0,0,16.69,0,15.7,0,0,0,0.98,0.98,11.78,0,0,0,38.28,0,5.89,2.94,0,0,0.98,0,1.96,0,13.74,0,1.96,0
 72-82,0,0,2.94,0,0,0,6.87,0,16.69,0.98,0,0,0,2.94,6.87,0,0,0,15.71,0,14.72,3.93,0,0,0.98,0,0,0,4.91,0,0,0
 84-94,0,0,1.06,1.06,1.06,1.06,8.5,1.06,12.74,1.06,0,0,2.12,1.06,1.06,0,0,0,16.99,0,6.37,4.25,0,0,3.19,0,1.06,0,8.5,0,0,0
 96-106,0,0,0,0,0,0,4.37,0,5.46,3.28,0,0,2.19,3.28,6.56,0,0,2.19,4.37,0,20.76,5.46,0,0,3.28,0,0,0,4.37,1.09,0,1.09
108-118,0,0,0,0,4.6,0,3.83,1.53,9.19,0,0,0,5.36,2.3,4.6,0,0.77,0,19.92,0,10.72,3.83,0,0.77,2.3,0,0,0,4.6,0.77,0,0
120,1.96,0,0,1.96,7.84,0,7.84,0,3.92,0,0,0,5.88,0,7.84,0,0,0,15.68,0,3.92,3.92,0,0,0,0,3.92,0,1.96,0,1.96,0
