stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,23.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,1,10,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,93,1,0,12,7,0,0,0,0
 24-34,0,0,4.1,0,2.46,0,1.64,0,0.82,0,0,0.82,0,0,0,3.28,0,0,1.64,9.03,0.82,0,0,0,152.68,0,0,4.1,5.75,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,1.61,0,0.81,0,0,0,0.81,0,0,2.42,0.81,0,1.61,8.06,0,1.61,0,0,182.08,0,0,0,3.22,0,0,0.81,0
 48-58,0,0,2.87,0,4.59,0,0.57,0,1.72,0,0,1.15,2.3,0,0,0.57,0,0,0,5.16,0.57,0.57,0,0,111.32,0,0,0,1.15,0,0,0.57,0
 60-70,0,0,9.82,0,1.96,0,1.96,0,1.96,0,0.98,0.98,13.74,0,0,5.89,0.98,0,0,8.83,0,0,0.98,0,164.9,0,0,0,1.96,0,0,0,0.98
 72-82,0,0,13.74,0,2.94,0,0.98,0,0,0,1.96,3.93,13.74,0,0.98,2.94,0.98,0,0,9.82,0,0,0,0,112.89,0,0,0,0.98,0.98,0,0,0.98
 84-94,0,0,26.55,2.12,3.19,0,7.43,0,3.19,0,0,4.25,36.11,0,0,5.31,1.06,1.06,0,4.25,0,5.31,0,0,398.26,0,2.12,0,1.06,0,2.12,0,5.31
 96-106,0,0,33.88,0,8.74,0,16.39,1.09,1.09,1.09,5.46,9.84,31.69,1.09,1.09,2.19,5.46,1.09,0,16.39,0,3.28,0,0,530.03,0,0,0,2.19,0,0,0,4.37
108-118,0,0,48.26,0.77,3.83,0.77,16.09,1.53,3.06,2.3,9.19,9.19,41.36,0.77,0,4.6,5.36,0,0.77,8.43,0,0,0.77,0,453.45,0,0,0,1.53,0,0,1.53,9.96
120,0,0,19.6,0,5.88,0,23.52,0,0,3.92,9.8,1.96,9.8,3.92,0,0,0,0,0,5.88,0,1.96,0,0,223.42,0,1.96,0,0,0,0,1.96,0
