stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0,61.56,0,0,0,0,0,0.82,0,0,0,18.88,0,0,2.46,0,0
 36-46,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,214.31,0,0.81,0,0,0,0,0,0,0,43.51,0,0,0,0,0
 48-58,0,0,0,11.48,0.57,0,0,1.72,0,0.57,0,0,0,0,0,9.75,0,0,374.12,0,0,0,0,0,0.57,0,0,0,47.63,0,0,4.02,0,0.57
 60-70,0,1.96,0,28.46,0,0,0,0.98,0,0,0.98,0,0.98,0,0.98,1.96,0,0.98,884.35,0,0.98,0,0,0,0.98,0,0,0,74.6,0,0.98,4.91,0,0.98
 72-82,0,8.83,0,42.21,0,0.98,0.98,10.8,0,2.94,0,0,0,1.96,0,15.71,0,1.96,1305.61,0,0.98,0,0,0,0,0,0,0,84.42,0,0,14.72,2.94,0.98
 84-94,0,5.31,1.06,59.47,0,0,0,12.74,0,0,1.06,2.12,1.06,0,0,13.81,0,1.06,681.83,0,1.06,1.06,0,0,2.12,0,1.06,0,39.3,0,1.06,8.5,2.12,0
 96-106,0,5.46,3.28,48.09,0,0,0,17.49,1.09,1.09,1.09,0,0,0,0,7.65,1.09,0,655.71,0,1.09,0,0,3.28,4.37,0,0,0,22.95,0,0,9.84,14.21,0
108-118,0.77,6.13,1.53,22.21,0,0,0,7.66,1.53,0,0,1.53,0.77,0,0.77,9.96,0,1.53,795.07,0,0,1.53,0,0,0.77,0,0,0,19.15,0,0,11.49,7.66,0
120,0,7.84,3.92,33.32,1.96,1.96,0,3.92,0,1.96,0,0,0,0,1.96,17.64,0,0,807.43,1.96,0,0,0,0,1.96,0,0,1.96,21.56,1.96,0,5.88,1.96,1.96
