stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,6.29,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,4,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4,36,2,0,32,0,0,1,0,4,0,1,6,16,0,0,3,0,0
 24-34,0,0,0,0,2.46,0.82,4.93,0,0,0.82,0,0,0,0,0,0.82,0.82,0,0,13.13,0,0,4.93,59.1,0,4.1,137.9,0,0,2.46,0,0,1.64,0,5.75,10.67,0,0,8.21,0,0
 36-46,0,0,0,0,0.81,0,16.92,0,0,0.81,0,0,1.61,0.81,0,0,0,0,0,8.86,0,0,2.42,62.84,0,4.03,94.26,0,0,5.64,0,0,0.81,0,0,13.7,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0.57,18.36,0,0,2.3,6.31,0,0,0,0,0,0,0,0,18.94,0,0,1.15,41.31,0.57,0,90.66,0,0,1.15,0,0,0,0,0,6.31,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,16.69,0.98,0,0,1.96,0.98,0,0.98,0,0,0.98,0,0.98,22.58,0,0,0.98,46.13,0,0.98,71.65,0,0.98,0.98,0,0,0,0,0,4.91,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,2.94,29.45,0,0.98,0,6.87,0.98,0,1.96,0,0,0.98,1.96,0.98,22.58,0,0,0.98,46.14,0,1.96,92.28,0,0,2.94,0,0,0,0,0,1.96,0.98,0,0,0.98,2.94
 84-94,0,0,0,0,2.12,1.06,33.99,0,1.06,1.06,4.25,1.06,0,1.06,0,0,0,0,0,19.12,0,0,1.06,29.74,0,3.19,115.76,0,0,4.25,1.06,0,1.06,0,0,2.12,0,1.06,1.06,0,1.06
 96-106,0,0,1.09,0,16.39,7.65,37.16,1.09,3.28,0,6.56,3.28,1.09,7.65,1.09,0,2.19,1.09,0,17.49,2.19,0,0,46.99,0,1.09,121.31,0,1.09,12.02,0,0,2.19,0,0,0,3.28,1.09,5.46,0,0
108-118,0,0,0,0,8.43,6.13,23.74,0,1.53,0.77,11.49,1.53,0,2.3,0.77,0,0,1.53,0.77,21.45,0,0,2.3,49.02,0.77,0.77,130.98,0,0.77,6.89,0,0,0,0,0,3.06,0,0,0,0.77,2.3
120,3.92,0,0,0,27.44,3.92,31.36,1.96,7.84,0,7.84,5.88,0,3.92,0,1.96,0,1.96,0,5.88,0,1.96,3.92,54.87,0,0,117.59,0,0,11.76,0,0,0,0,0,3.92,0,0,3.92,1.96,0
