stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,2.63,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,0,2,6,4,3,0,0,1,1,0,0,0,0,4,0,0,6,18,2,0,0,0,0,5,1,14,10,1,0,0
 24-34,0,3.28,5.75,2.46,0.82,0,0,2.46,4.1,0,0,0.82,0,15.6,0.82,0,29.55,27.91,1.64,0,0,0,0,0,0,13.95,27.09,3.28,0,0
 36-46,0,0.81,0,0,1.61,0,0.81,0,0.81,0,0,0,0,9.67,0,1.61,3.22,8.06,0,0.81,1.61,0,0,0,0,0,8.06,0.81,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0,0,0,0,2.87,0,0.57,1.15,2.3,0.57,0,0,0,0,0,0,0,1.72,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,1.96,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,3.19,1.06,0,1.06,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
