stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,pericytes,periderm,spinal_cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,0,0,7.39,0,0,0.82,0,0.82
 36-46,0,0,0,0,2.42,0,0,0,0.81,0,0,0,6.45,0.81,0,1.61,0,0
 48-58,0,0,0,0,4.02,0,0,0,0,0,1.15,0.57,1.72,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,1.96,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,3.28,1.09,0,0,0,2.19,1.09,0,0,1.09,0,0,1.09,0
108-118,0,0,0.77,0,1.53,0.77,0,2.3,0,3.06,0,0,0.77,0,0,0,1.53,0.77
120,0,0,0,0,0,0,1.96,0,0,5.88,0,0,3.92,0,0,0,0,1.96
