stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,2,4,0,272,148,4,0,0,0,0,0
 24-34,0,0,4.1,0.82,0,3.28,148.57,0,0,2.46,0,5.75,0,0.82,0,0,0.82,0,4.93,0.82,0.82,30.37,56.64,0,0.82,0,0,0,5.75,0,0,161.71,114.92,5.75,0,0,0.82,0,7.39
 36-46,0,0,1.61,0,0,6.45,287.62,0.81,0,3.22,0,5.64,0,0,0,0,0,0,6.45,0,0,26.59,55.59,0.81,0.81,0.81,1.61,0,5.64,0,0,135.35,11.28,7.25,0,0,2.42,0,24.17
 48-58,0,0,3.44,1.15,0,21.8,249.03,0,2.3,4.02,0,5.74,0,0,0,0,1.15,0,10.9,0.57,0.57,25.25,70.58,0,0,1.15,0,0,2.3,0,0,102.71,0.57,15.49,0,0.57,1.15,0,52.22
 60-70,0,0,3.93,0.98,0,22.58,195.32,0.98,0,0.98,0,3.93,1.96,0,0,0,0,0.98,8.83,0.98,1.96,29.45,49.08,0,0,0.98,0,0.98,4.91,0,1.96,59.87,0,4.91,0,2.94,0.98,0,41.22
 72-82,0,0,8.83,3.93,0,30.43,164.92,0,0.98,5.89,0,4.91,2.94,0,0,0,0.98,0,21.6,0,0.98,44.17,57.92,0,0.98,0,0,0,2.94,0,0.98,40.25,0,4.91,0.98,8.83,0,0.98,40.25
 84-94,0,0,3.19,2.12,1.06,19.12,204.97,2.12,1.06,5.31,1.06,6.37,4.25,0,1.06,1.06,1.06,0,18.05,0,0,46.73,36.11,0,0,0,0,0,7.43,0,2.12,57.35,0,5.31,0,3.19,1.06,0,25.49
 96-106,0,0,4.37,2.19,0,29.51,365.01,0,1.09,8.74,0,6.56,1.09,0,0,0,3.28,0,25.14,0,0,48.09,60.11,0,1.09,1.09,2.19,1.09,10.93,0,0,80.87,0,5.46,0,8.74,3.28,0,39.34
108-118,0,0,6.13,3.06,3.06,18.38,271.92,1.53,3.06,5.36,0.77,5.36,5.36,0,0.77,0.77,0.77,0.77,14.55,0,1.53,55.15,40.6,0,0,1.53,0,0.77,6.89,0,0,56.68,0,1.53,0,4.6,1.53,0,36.77
120,0,0,3.92,1.96,0,13.72,162.66,1.96,1.96,3.92,0,1.96,1.96,0,1.96,0,1.96,0,25.48,0,0,54.87,31.36,0,0,0,0,0,0,0,0,19.6,0,0,0,3.92,0,0,15.68
