stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,382.16,6272.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.91,0,0,0,0,0,0,0,0,0
  5-6,208.41,2359.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,6.13,49.04,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.32,5.26,0,0,39.43,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,15.73,0,0,3.15,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,56,2,0,3,1,6,0,0,1,11,0,0,0,0,0
 24-34,0,0,0.82,0.82,14.78,0,0,12.31,0,0,0,1.64,0.82,0,0.82,8.21,3.28,0,0,0,0.82,4.1,0,0,0.82,114.1,0.82,2.46,0.82,0,0.82,0,0,0,13.95,0,0,0.82,0,0.82
 36-46,0,0,0,0,12.09,0,0,8.86,0,0,0,6.45,0,0,0,17.72,0.81,0,0.81,0,2.42,2.42,0.81,0,0,45.12,0,3.22,0.81,0,2.42,0,0.81,0,7.25,0,0,0.81,0,0.81
 48-58,0,0,0.57,0,12.62,0,0,11.48,0,0.57,0,20.66,0.57,0.57,0.57,22.38,0.57,0,0,0,1.15,6.31,1.15,0.57,2.3,31.56,0,2.3,4.02,0,1.15,0,0.57,0,3.44,0,0,0,0,0
 60-70,0,0,0,0,9.82,0,0,20.61,0,5.89,0,32.39,0.98,0,0,28.46,1.96,0,1.96,0,0,17.67,1.96,1.96,0,20.61,1.96,1.96,5.89,0,0,0,0,0,6.87,0,0,1.96,0,0.98
 72-82,0,0,0,0,22.58,0.98,0,24.54,0.98,1.96,0,54.97,0.98,0,0,44.17,0.98,0.98,1.96,0.98,0,36.32,0,0.98,1.96,33.38,0,4.91,10.8,0,5.89,0,0,0,2.94,1.96,0,2.94,0,0.98
 84-94,0,0,0,0,36.11,0,1.06,26.55,0,4.25,0,24.43,5.31,1.06,0,59.47,2.12,2.12,1.06,1.06,4.25,20.18,0,1.06,1.06,21.24,0,4.25,7.43,0,12.74,0,1.06,0,2.12,2.12,3.19,2.12,0,1.06
 96-106,0,0,1.09,0,29.51,1.09,0,21.86,1.09,0,0,21.86,7.65,0,1.09,67.76,7.65,0,2.19,1.09,2.19,27.32,3.28,0,2.19,19.67,1.09,7.65,6.56,0,8.74,0,0,0,3.28,4.37,0,2.19,1.09,1.09
108-118,0,0,0.77,0.77,39.06,0,1.53,17.62,0,4.6,1.53,11.49,9.19,0,0,53.62,5.36,0.77,2.3,0.77,3.06,22.21,1.53,0,1.53,19.15,0.77,4.6,14.55,0,5.36,0,0,0,0.77,3.06,1.53,1.53,0,0.77
120,0,0,0,0,58.79,5.88,0,5.88,0,7.84,0,23.52,7.84,0,0,88.19,3.92,0,1.96,0,0,13.72,1.96,0,1.96,23.52,3.92,0,5.88,0,3.92,0,1.96,0,1.96,1.96,0,5.88,0,0
