stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,25.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,6,14,15,0,0,0
 24-34,0,0,0,0,1.64,0,2.46,0,0,0,0,0,0,0.82,0,0,0,0,3.28,0,0.82,9.85,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0,0,7.25,0,0,0,0,0,0,0,0,4.03,0,0,0
 48-58,0,0,0,0,1.15,0,9.18,0,0,2.3,0.57,0,0,0,0,0,0,0,2.3,0,0.57,13.2,0,0,0,0,0,0.57,0,0,3.44,0,0,0
 60-70,0,0,0,0,0,0.98,7.85,0,0,0.98,0,0,0,0,0,0,0,0,4.91,0,0.98,11.78,0.98,0,0.98,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0.98,0.98,12.76,0,0.98,6.87,0,0,1.96,0,0,0,0,0,15.71,0.98,0.98,23.56,0,0.98,0.98,0,0.98,5.89,0,0,2.94,0.98,0.98,0
 84-94,0,0,0,0,1.06,2.12,10.62,1.06,3.19,3.19,0,0,1.06,1.06,0,1.06,0,0,1.06,0,0,11.68,0,0,0,0,0,4.25,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,4.37,1.09,6.56,0,0,1.09,1.09,0,2.19,1.09,0,0,0,0,10.93,0,4.37,13.11,1.09,1.09,1.09,0,0,7.65,0,0,2.19,0,3.28,0
108-118,0,0,0,0,3.06,0,4.6,0.77,0,6.89,0.77,0,0,2.3,0.77,0,1.53,0.77,22.21,0.77,3.06,19.15,0,0.77,0,0,0.77,10.72,0,0,0.77,0,1.53,0.77
120,0,0,1.96,0,3.92,0,7.84,1.96,1.96,1.96,1.96,0,0,5.88,0,0,0,0,5.88,1.96,5.88,15.68,0,0,0,0,0,3.92,0,0,0,0,5.88,0
