stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,21.03,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,22.03,0,6.29,0,0,0
 14-21,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,1,22,0
 24-34,0,0,0,1.64,0.82,0,0,18.06,0,0,0,0,0,0,0.82,0,0,22.98,0.82,0.82,0.82,0,0,9.03,0,32.83,1.64
 36-46,0,0,0,0,1.61,0,0,12.89,0,0,0,0,0,0,3.22,0,0,20.14,0,1.61,0,0,0,6.45,0,42.7,0
 48-58,0,0,0,0,10.33,0,0,29.84,0,0,0,0,0.57,0,4.02,0,0.57,18.36,0,1.72,0,0,0,1.72,0,39.59,0
 60-70,0,0,0,1.96,9.82,0,0,26.5,0,0,0,0,0,0,5.89,0.98,0,11.78,0,1.96,0,0,0,0.98,0,26.5,0
 72-82,0,0,0,0,6.87,0,0.98,35.34,0,0,0,0,0,0,7.85,0,0,15.71,0,3.93,0.98,0,0,0.98,0,12.76,0.98
 84-94,0,0,0,0,7.43,0,0,22.3,1.06,0,1.06,1.06,1.06,0,3.19,1.06,1.06,6.37,0,4.25,3.19,0,0,0,0,9.56,1.06
 96-106,0,0,0,0,3.28,0,0,21.86,0,0,0,1.09,4.37,0,3.28,0,1.09,4.37,1.09,1.09,7.65,0,1.09,1.09,0,10.93,2.19
108-118,0,0,0,0,3.83,0,0.77,19.92,0.77,0.77,0,1.53,2.3,0,1.53,0,0,5.36,0,1.53,8.43,0,0.77,3.06,0,10.72,0
120,0,0,0,0,1.96,1.96,0,5.88,0,0,0,0,5.88,1.96,1.96,0,1.96,7.84,0,0,1.96,0,0,1.96,0,15.68,0
