stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,5,0,0,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,1.64,0.82,0,0,0.82,5.75,6.57,0.82,4.1,0,0,12.31,0.82,0.82,0.82,0,0,0
 36-46,0,0,1.61,0,0,4.83,0,0,1.61,0,0,0,0,0.81,0,3.22,0,0,0,8.06,8.06,0,5.64,0,0,1.61,0,0,0,0,1.61,0
 48-58,0,0,0.57,0,0,9.18,0,0,10.33,1.15,0,0,0,0,1.72,3.44,0,0,0,8.03,1.15,0,6.31,0,0,0.57,0,0,5.74,0,0.57,0
 60-70,0,0,1.96,0,0,17.67,0,0,22.58,5.89,0,0,0,0,3.93,8.83,0,0,0,10.8,0,0,10.8,0,0,0,0,0,6.87,0,0,0
 72-82,0,0,0,0,0.98,29.45,0,0,49.08,28.47,0,0,0,0,18.65,23.56,0,0.98,0,14.72,1.96,0,22.58,0,0,1.96,0,0,11.78,0,1.96,0
 84-94,0,0,1.06,1.06,0,72.22,0,1.06,41.42,47.79,1.06,0,1.06,0,47.79,12.74,0,0,0,13.81,1.06,0,20.18,1.06,1.06,4.25,0,0,10.62,0,0,1.06
 96-106,0,0,2.19,0,0,67.76,1.09,1.09,36.06,46.99,1.09,0,0,1.09,40.44,16.39,0,0,0,8.74,0,0,40.44,0,0,2.19,0,0,8.74,1.09,6.56,0
108-118,0,0,2.3,0,0,73.53,0,0,30.64,37.53,0,0.77,0,0,19.15,11.49,0.77,0,0.77,16.85,0.77,0,35.23,0,0,2.3,0,0,8.43,0,0.77,0
120,1.96,0,7.84,0,0,15.68,1.96,0,17.64,56.83,3.92,0,0,0,9.8,3.92,0,0,0,7.84,0,0,21.56,0,0,0,0,0,0,0,0,0
