stage,axial,blastomeres,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,0,0,0,0,0,0,2.63,0,0,0,0,0,7.89,2.63,0,0,13.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,6.57,1.64,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,26.59,5.64,4.03,0,0,0,0,0.81,0,2.42,0,0
 48-58,0,0,0.57,0,1.15,0,0,0,0,0,0,20.66,3.44,7.46,0,0,0,0,0.57,1.15,2.87,0,0.57
 60-70,0,0,2.94,0.98,0.98,0,0.98,0,0,0,0,20.61,5.89,4.91,0,0.98,0.98,0,0,0.98,0.98,0,0
 72-82,0,0,1.96,0,0,1.96,0,0,0.98,0.98,0,22.58,1.96,16.69,0,0,0.98,0,0,0.98,0.98,0.98,0
 84-94,0,0,2.12,0,0,0,1.06,0,0,0,0,16.99,3.19,5.31,0,0,5.31,0,1.06,2.12,0,0,0
 96-106,0,0,3.28,0,1.09,2.19,1.09,0,1.09,0,1.09,22.95,4.37,20.76,0,0,4.37,0,1.09,1.09,0,0,1.09
108-118,0,0,6.89,1.53,0,0.77,0.77,0,3.06,0,0,25.28,3.83,9.19,0,0.77,0.77,0,0,1.53,0,0.77,0
120,0,0,3.92,1.96,0,0,0,0,0,0,0,31.36,9.8,19.6,0,0,0,0,1.96,1.96,0,0,0
